#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CPSF6	ENSG00000000003	TSPAN6	protein_coding	3	2	6	CPSF6:CH56802	chrX	100628747	100628786	100628747	100628786	-	1	-0.830	NA	NA	NA	15	HEK293
CPSF6	ENSG00000000003	TSPAN6	protein_coding	3	2	6	CPSF6:CH56803	chrX	100629423	100629753	100629423	100629753	-	2	-0.830	NA	NA	NA	15	HEK293
CPSF6	ENSG00000000003	TSPAN6	protein_coding	3	2	6	CPSF6:CH56804	chrX	100633426	100633465	100633426	100633465	-	1	-0.830	NA	NA	NA	15	HEK293
CPSF6	ENSG00000000419	DPM1	protein_coding	5	2	9	CPSF6:CH34947	chr20	50934893	50934932	50934893	50934932	-	2	-0.497	-0.671	NA	NA	27	HEK293
CPSF6	ENSG00000000419	DPM1	protein_coding	5	2	9	CPSF6:CH34948	chr20	50953146	50953185	50953146	50953185	-	1	-0.497	-0.671	NA	NA	27	HEK293
CPSF6	ENSG00000000419	DPM1	protein_coding	5	2	9	CPSF6:CH34949	chr20	50955112	50955256	50955112	50955256	-	2	-0.497	-0.671	NA	NA	27	HEK293
CPSF6	ENSG00000000419	DPM1	protein_coding	5	2	9	CPSF6:CH34950	chr20	50957198	50957325	50957198	50957325	-	2	-0.497	-0.671	NA	NA	27	HEK293
CPSF6	ENSG00000000419	DPM1	protein_coding	5	2	9	CPSF6:CH34951	chr20	50958413	50958452	50958413	50958452	-	1	-0.497	-0.671	NA	NA	27	HEK293
CPSF6	ENSG00000000457	SCYL3	protein_coding	1	1	1	CPSF6:CH4219	chr1	169859149	169859188	169859149	169859188	-	1	NA	NA	NA	NA	32	HEK293
CPSF6	ENSG00000000460	C1orf112	protein_coding	2	2	4	CPSF6:CH4217	chr1	169836600	169836811	169836600	169836811	+	2	-0.888	NA	NA	NA	32	HEK293
CPSF6	ENSG00000000460	C1orf112	protein_coding	2	2	4	CPSF6:CH4218	chr1	169853015	169853060	169853015	169853060	+	2	-0.888	NA	NA	NA	32	HEK293
CPSF6	ENSG00000001084	GCLC	protein_coding	3	2	4	CPSF6:CH47671	chr6	53497547	53497586	53497547	53497586	-	1	NA	NA	NA	NA	30	HEK293
CPSF6	ENSG00000001084	GCLC	protein_coding	3	2	4	CPSF6:CH47672	chr6	53498416	53498475	53498416	53498475	-	2	NA	NA	NA	NA	30	HEK293
CPSF6	ENSG00000001084	GCLC	protein_coding	3	2	4	CPSF6:CH47673	chr6	53508854	53508893	53508854	53508893	-	1	NA	NA	NA	NA	30	HEK293
CPSF6	ENSG00000001167	NFYA	protein_coding	3	1	3	CPSF6:CH47376	chr6	41079023	41079062	41079023	41079062	+	1	-1.280	-0.580	NA	NA	32	HEK293
CPSF6	ENSG00000001167	NFYA	protein_coding	3	1	3	CPSF6:CH47377	chr6	41097637	41097676	41097637	41097676	+	1	-1.280	-0.580	NA	NA	32	HEK293
CPSF6	ENSG00000001167	NFYA	protein_coding	3	1	3	CPSF6:CH47378	chr6	41098435	41098474	41098435	41098474	+	1	-1.280	-0.580	NA	NA	32	HEK293
CPSF6	ENSG00000001460	STPG1	protein_coding	1	1	1	CPSF6:CH995	chr1	24402851	24402851	24402851	24402851	-	1	-0.445	NA	NA	NA	18	HEK293
CPSF6	ENSG00000001461	NIPAL3	protein_coding	3	2	3	CPSF6:CH996	chr1	24449503	24449542	24449503	24449542	+	1	NA	NA	NA	NA	22	HEK293
