#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FTO	ENSG00000000003	TSPAN6	protein_coding	1	1	1	FTO:CH11998	chrX	100629740	100629779	100629740	100629779	-	1	NA	NA	NA	NA	13	HEK293T
FTO	ENSG00000001036	FUCA2	protein_coding	2	1	2	FTO:CH10176	chr6	143495688	143495727	143495688	143495727	-	1	0.334	NA	NA	NA	15	HEK293T
FTO	ENSG00000001036	FUCA2	protein_coding	2	1	2	FTO:CH10177	chr6	143503981	143504020	143503981	143504020	-	1	0.334	NA	NA	NA	15	HEK293T
FTO	ENSG00000001497	LAS1L	protein_coding	3	1	3	FTO:CH11872	chrX	65524069	65524108	65524069	65524108	-	1	NA	-0.779	NA	NA	11	HEK293T
FTO	ENSG00000001497	LAS1L	protein_coding	3	1	3	FTO:CH11873	chrX	65528285	65528324	65528285	65528324	-	1	NA	-0.779	NA	NA	11	HEK293T
FTO	ENSG00000001497	LAS1L	protein_coding	3	1	3	FTO:CH11874	chrX	65533642	65533681	65533642	65533681	-	1	NA	-0.779	NA	NA	11	HEK293T
FTO	ENSG00000001630	CYP51A1	protein_coding	2	1	2	FTO:CH10557	chr7	92113626	92113665	92113626	92113665	-	1	0.907	-0.897	NA	NA	25	HEK293T
FTO	ENSG00000001630	CYP51A1	protein_coding	2	1	2	FTO:CH10558	chr7	92117112	92117151	92117112	92117151	-	1	0.907	-0.897	NA	NA	25	HEK293T
FTO	ENSG00000002586	CD99	protein_coding	4	1	4	FTO:CH11663	chrX	2726289	2726328	2726289	2726328	+	1	-0.641	NA	NA	NA	18	HEK293T
FTO	ENSG00000002586	CD99	protein_coding	4	1	4	FTO:CH11664	chrX	2740803	2740842	2740803	2740842	+	1	-0.641	NA	NA	NA	18	HEK293T
FTO	ENSG00000002586	CD99	protein_coding	4	1	4	FTO:CH12258	chrY	2726289	2726328	2726289	2726328	+	1	-0.641	NA	NA	NA	18	HEK293T
FTO	ENSG00000002586	CD99	protein_coding	4	1	4	FTO:CH12259	chrY	2740803	2740842	2740803	2740842	+	1	-0.641	NA	NA	NA	18	HEK293T
FTO	ENSG00000002822	MAD1L1	protein_coding	1	1	1	FTO:CH10298	chr7	2230043	2230082	2230043	2230082	-	1	NA	NA	NA	NA	19	HEK293T
FTO	ENSG00000003056	M6PR	protein_coding	1	1	1	FTO:CH2735	chr12	8941848	8941887	8941848	8941887	-	1	0.242	NA	NA	NA	29	HEK293T
FTO	ENSG00000003249	DBNDD1	protein_coding	1	1	1	FTO:CH4732	chr16	90005573	90005612	90005573	90005612	-	1	-1.509	-0.449	NA	NA	13	HEK293T
FTO	ENSG00000003756	RBM5	protein_coding	6	1	6	FTO:CH8440	chr3	50092159	50092198	50092159	50092198	+	1	0.711	NA	NA	NA	19	HEK293T
FTO	ENSG00000003756	RBM5	protein_coding	6	1	6	FTO:CH8441	chr3	50093727	50093766	50093727	50093766	+	1	0.711	NA	NA	NA	19	HEK293T
FTO	ENSG00000003756	RBM5	protein_coding	6	1	6	FTO:CH8442	chr3	50100140	50100179	50100140	50100179	+	1	0.711	NA	NA	NA	19	HEK293T
