#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
DGCR8	ENSG00000000003	TSPAN6	protein_coding	1	1	1	DGCR8:CH8029	chrX	100629913	100629952	100629913	100629952	-	1	NA	NA	NA	NA	14	HEK293T
DGCR8	ENSG00000002822	MAD1L1	protein_coding	3	3	3	DGCR8:CH6807	chr7	1844167	1844206	1844167	1844206	-	1	NA	NA	NA	NA	22	K562
DGCR8	ENSG00000002822	MAD1L1	protein_coding	3	3	3	DGCR8:CH6808	chr7	1938902	1938902	1938902	1938902	-	1	NA	NA	NA	NA	22	adrenal-gland
DGCR8	ENSG00000002822	MAD1L1	protein_coding	3	3	3	DGCR8:CH6809	chr7	1996208	1996247	1996208	1996247	-	1	NA	NA	NA	NA	22	HepG2
DGCR8	ENSG00000002834	LASP1	protein_coding	1	2	3	DGCR8:CH3211	chr17	38886903	38887108	38886903	38887108	+	2	NA	NA	NA	NA	24	K562
DGCR8	ENSG00000003436	TFPI	protein_coding	1	1	1	DGCR8:CH4574	chr2	187484914	187484953	187484914	187484953	-	1	NA	NA	NA	NA	14	HepG2
DGCR8	ENSG00000003756	RBM5	protein_coding	3	2	3	DGCR8:CH5573	chr3	50092137	50092176	50092137	50092176	+	1	NA	NA	NA	NA	31	HEK293T
DGCR8	ENSG00000003756	RBM5	protein_coding	3	2	3	DGCR8:CH5575	chr3	50100009	50100048	50100009	50100048	+	1	NA	NA	NA	NA	31	HEK293T
DGCR8	ENSG00000003756	RBM5	protein_coding	3	2	3	DGCR8:CH5579	chr3	50118362	50118401	50118362	50118401	+	1	NA	NA	NA	NA	31	HEK293T
DGCR8	ENSG00000004059	ARF5	protein_coding	2	2	2	DGCR8:CH7058	chr7	127591239	127591278	127591239	127591278	+	1	NA	NA	NA	NA	16	HEK293T
