#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
FXR1	ENSG00000000971	CFH	protein_coding	1	1	1	FXR1:CH2127	chr1	196726603	196726642	196726603	196726642	+	1	NA	-0.387	NA	NA	15	K562
FXR1	ENSG00000001036	FUCA2	protein_coding	1	1	1	FXR1:CH16914	chr6	143504078	143504117	143504078	143504117	-	1	-0.176	0.266	NA	NA	16	K562
FXR1	ENSG00000001084	GCLC	protein_coding	3	1	3	FXR1:CH16583	chr6	53507483	53507522	53507483	53507522	-	1	-0.294	NA	NA	NA	26	K562
FXR1	ENSG00000001084	GCLC	protein_coding	3	1	3	FXR1:CH16584	chr6	53514224	53514263	53514224	53514263	-	1	-0.294	NA	NA	NA	26	K562
FXR1	ENSG00000001084	GCLC	protein_coding	3	1	3	FXR1:CH16585	chr6	53516144	53516183	53516144	53516183	-	1	-0.294	NA	NA	NA	26	K562
FXR1	ENSG00000001497	LAS1L	protein_coding	4	1	4	FXR1:CH20213	chrX	65514889	65514928	65514889	65514928	-	1	NA	0.420	NA	NA	20	K562
FXR1	ENSG00000001497	LAS1L	protein_coding	4	1	4	FXR1:CH20214	chrX	65518058	65518097	65518058	65518097	-	1	NA	0.420	NA	NA	20	K562
FXR1	ENSG00000001497	LAS1L	protein_coding	4	1	4	FXR1:CH20215	chrX	65531386	65531425	65531386	65531425	-	1	NA	0.420	NA	NA	20	K562
FXR1	ENSG00000001497	LAS1L	protein_coding	4	1	4	FXR1:CH20216	chrX	65534651	65534690	65534651	65534690	-	1	NA	0.420	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17522	chr7	92113687	92113726	92113687	92113726	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17523	chr7	92118528	92118567	92118528	92118567	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17524	chr7	92123220	92123259	92123220	92123259	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17525	chr7	92123810	92123849	92123810	92123849	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17526	chr7	92126358	92126397	92126358	92126397	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17527	chr7	92127573	92127612	92127573	92127612	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17528	chr7	92128966	92129005	92128966	92129005	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17529	chr7	92131794	92131833	92131794	92131833	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001630	CYP51A1	protein_coding	9	1	9	FXR1:CH17530	chr7	92134281	92134320	92134281	92134320	-	1	-1.029	NA	NA	NA	20	K562
FXR1	ENSG00000001631	KRIT1	protein_coding	1	2	2	FXR1:CH17531	chr7	92226575	92226619	92226575	92226619	-	2	NA	0.313	NA	NA	32	K562
FXR1	ENSG00000002834	LASP1	protein_coding	4	1	4	FXR1:CH8571	chr17	38875809	38875848	38875809	38875848	+	1	0.327	-0.300	NA	NA	25	K562
FXR1	ENSG00000002834	LASP1	protein_coding	4	1	4	FXR1:CH8572	chr17	38898444	38898483	38898444	38898483	+	1	0.327	-0.300	NA	NA	25	K562
FXR1	ENSG00000002834	LASP1	protein_coding	4	1	4	FXR1:CH8573	chr17	38914355	38914394	38914355	38914394	+	1	0.327	-0.300	NA	NA	25	K562
FXR1	ENSG00000002834	LASP1	protein_coding	4	1	4	FXR1:CH8574	chr17	38919919	38919958	38919919	38919958	+	1	0.327	-0.300	NA	NA	25	K562
FXR1	ENSG00000004059	ARF5	protein_coding	1	2	2	FXR1:CH17784	chr7	127591610	127591660	127591610	127591660	+	2	NA	NA	NA	NA	22	K562
FXR1	ENSG00000004455	AK2	protein_coding	1	1	1	FXR1:CH808	chr1	33036741	33036780	33036741	33036780	-	1	-0.510	0.221	NA	NA	15	K562
FXR1	ENSG00000004478	FKBP4	protein_coding	3	1	3	FXR1:CH4640	chr12	2797182	2797221	2797182	2797221	+	1	-0.308	0.635	NA	NA	20	K562
FXR1	ENSG00000004478	FKBP4	protein_coding	3	1	3	FXR1:CH4641	chr12	2799167	2799206	2799167	2799206	+	1	-0.308	0.635	NA	NA	20	K562
FXR1	ENSG00000004478	FKBP4	protein_coding	3	1	3	FXR1:CH4642	chr12	2800414	2800453	2800414	2800453	+	1	-0.308	0.635	NA	NA	20	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH593	chr1	23019744	23019783	23019744	23019783	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH594	chr1	23030480	23030526	23030480	23030526	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH595	chr1	23050429	23050468	23050429	23050468	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH596	chr1	23053771	23053810	23053771	23053810	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH597	chr1	23055966	23056005	23055966	23056005	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH598	chr1	23057495	23057534	23057495	23057534	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH599	chr1	23059107	23059155	23059107	23059155	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH600	chr1	23068587	23068628	23068587	23068628	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH601	chr1	23072144	23072183	23072144	23072183	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH602	chr1	23073348	23073390	23073348	23073390	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH603	chr1	23077256	23077315	23077256	23077315	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH604	chr1	23079056	23079096	23079056	23079096	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH605	chr1	23079598	23079644	23079598	23079644	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH606	chr1	23081450	23081555	23081450	23081555	+	2	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH607	chr1	23082266	23082305	23082266	23082305	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004487	KDM1A	protein_coding	16	2	25	FXR1:CH608	chr1	23083445	23083484	23083445	23083484	+	1	NA	-0.165	NA	NA	27	K562
FXR1	ENSG00000004534	RBM6	protein_coding	1	1	1	FXR1:CH13727	chr3	50004641	50004680	50004641	50004680	+	1	NA	0.269	NA	NA	16	K562
FXR1	ENSG00000004700	RECQL	protein_coding	2	1	2	FXR1:CH4761	chr12	21477900	21477939	21477900	21477939	-	1	0.503	-0.316	NA	NA	31	K562
FXR1	ENSG00000004700	RECQL	protein_coding	2	1	2	FXR1:CH4762	chr12	21483409	21483448	21483409	21483448	-	1	0.503	-0.316	NA	NA	31	K562
FXR1	ENSG00000004779	NDUFAB1	protein_coding	2	1	2	FXR1:CH7486	chr16	23587268	23587307	23587268	23587307	-	1	-0.358	0.277	NA	NA	14	K562
FXR1	ENSG00000004779	NDUFAB1	protein_coding	2	1	2	FXR1:CH7487	chr16	23596216	23596255	23596216	23596255	-	1	-0.358	0.277	NA	NA	14	K562
FXR1	ENSG00000004864	SLC25A13	protein_coding	1	1	1	FXR1:CH17537	chr7	96189324	96189363	96189324	96189363	-	1	NA	0.736	NA	NA	24	K562
FXR1	ENSG00000004897	CDC27	protein_coding	1	1	1	FXR1:CH8810	chr17	47143899	47143938	47143899	47143938	-	1	NA	0.295	NA	NA	31	K562
FXR1	ENSG00000004975	DVL2	protein_coding	2	1	2	FXR1:CH8197	chr17	7227185	7227224	7227185	7227224	-	1	0.253	-0.455	NA	NA	23	K562
