#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
GTF2F1	ENSG00000000419	DPM1	protein_coding	2	2	2	GTF2F1:CH16601	chr20	50939076	50939115	50939076	50939115	-	1	NA	NA	NA	NA	17	HepG2
GTF2F1	ENSG00000000419	DPM1	protein_coding	2	2	2	GTF2F1:CH16602	chr20	50945197	50945236	50945197	50945236	-	1	NA	NA	NA	NA	17	K562
GTF2F1	ENSG00000001497	LAS1L	protein_coding	1	4	6	GTF2F1:CH26244	chrX	65524676	65524881	65524676	65524881	-	4	NA	NA	NA	NA	28	HepG2,K562
GTF2F1	ENSG00000001617	SEMA3F	protein_coding	1	1	1	GTF2F1:CH19124	chr3	50156333	50156372	50156333	50156372	+	1	NA	NA	NA	NA	17	HepG2
GTF2F1	ENSG00000001629	ANKIB1	protein_coding	2	2	2	GTF2F1:CH23112	chr7	92246065	92246104	92246065	92246104	+	1	NA	NA	NA	NA	18	HepG2
GTF2F1	ENSG00000001629	ANKIB1	protein_coding	2	2	2	GTF2F1:CH23113	chr7	92246476	92246515	92246476	92246515	+	1	NA	NA	NA	NA	18	K562
GTF2F1	ENSG00000001631	KRIT1	protein_coding	1	4	4	GTF2F1:CH23110	chr7	92245702	92245831	92245702	92245831	-	4	NA	NA	NA	NA	18	HepG2,K562
GTF2F1	ENSG00000002586	CD99	protein_coding	4	2	4	GTF2F1:CH26008	chrX	2712846	2712885	2712846	2712885	+	1	-0.219	NA	NA	NA	16	HepG2
GTF2F1	ENSG00000002586	CD99	protein_coding	4	2	4	GTF2F1:CH26009	chrX	2713479	2713518	2713479	2713518	+	1	-0.219	NA	NA	NA	16	HepG2
GTF2F1	ENSG00000002586	CD99	protein_coding	4	2	4	GTF2F1:CH26666	chrY	2712846	2712885	2712846	2712885	+	1	-0.219	NA	NA	NA	16	HepG2
GTF2F1	ENSG00000002586	CD99	protein_coding	4	2	4	GTF2F1:CH26667	chrY	2713479	2713518	2713479	2713518	+	1	-0.219	NA	NA	NA	16	HepG2
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22506	chr7	1839859	1839898	1839859	1839898	-	1	NA	NA	NA	NA	27	K562
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22507	chr7	1844226	1844265	1844226	1844265	-	1	NA	NA	NA	NA	27	K562
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22508	chr7	1845215	1845254	1845215	1845254	-	1	NA	NA	NA	NA	27	K562
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22509	chr7	1847851	1847890	1847851	1847890	-	1	NA	NA	NA	NA	27	K562
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22510	chr7	1848746	1848793	1848746	1848793	-	2	NA	NA	NA	NA	27	K562
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22511	chr7	1850334	1850373	1850334	1850373	-	1	NA	NA	NA	NA	27	K562
GTF2F1	ENSG00000002822	MAD1L1	protein_coding	56	4	81	GTF2F1:CH22512	chr7	1852744	1852783	1852744	1852783	-	1	NA	NA	NA	NA	27	K562
