#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RC3H1	ENSG00000000003	TSPAN6	protein_coding	1	1	1	RC3H1:CH10994	chrX	100629332	100629371	100629332	100629371	-	1	NA	NA	NA	NA	18	HEK293
RC3H1	ENSG00000000457	SCYL3	protein_coding	1	1	1	RC3H1:CH857	chr1	169853280	169853319	169853280	169853319	-	1	NA	NA	NA	NA	32	HEK293
RC3H1	ENSG00000001036	FUCA2	protein_coding	1	1	1	RC3H1:CH9291	chr6	143504013	143504052	143504013	143504052	-	1	NA	NA	NA	NA	13	HEK293
RC3H1	ENSG00000001084	GCLC	protein_coding	2	1	2	RC3H1:CH8979	chr6	53498330	53498369	53498330	53498369	-	1	NA	NA	NA	NA	26	HEK293
RC3H1	ENSG00000001084	GCLC	protein_coding	2	1	2	RC3H1:CH8980	chr6	53520883	53520883	53520883	53520883	-	1	NA	NA	NA	NA	26	HEK293
RC3H1	ENSG00000001167	NFYA	protein_coding	3	2	6	RC3H1:CH8931	chr6	41097539	41097599	41097539	41097599	+	1	NA	NA	NA	NA	32	HEK293
RC3H1	ENSG00000001167	NFYA	protein_coding	3	2	6	RC3H1:CH8932	chr6	41097801	41097840	41097801	41097840	+	1	NA	NA	NA	NA	32	HEK293
RC3H1	ENSG00000001167	NFYA	protein_coding	3	2	6	RC3H1:CH8933	chr6	41099073	41099438	41099073	41099438	+	1	NA	NA	NA	NA	32	HEK293
RC3H1	ENSG00000001461	NIPAL3	protein_coding	1	1	1	RC3H1:CH158	chr1	24469386	24469425	24469386	24469425	+	1	NA	NA	NA	NA	25	HEK293
RC3H1	ENSG00000001561	ENPP4	protein_coding	4	2	4	RC3H1:CH8965	chr6	46144717	46144756	46144717	46144756	+	1	NA	NA	NA	NA	26	HEK293
