#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SRSF6	ENSG00000001497	LAS1L	protein_coding	2	1	2	SRSF6:CH2064	chrX	65518145	65518184	65518145	65518184	-	1	NA	NA	NA	NA	22	HeLa
SRSF6	ENSG00000001497	LAS1L	protein_coding	2	1	2	SRSF6:CH2065	chrX	65529708	65529708	65529708	65529708	-	1	NA	NA	NA	NA	22	HeLa
SRSF6	ENSG00000002822	MAD1L1	protein_coding	1	1	1	SRSF6:CH1754	chr7	2040446	2040446	2040446	2040446	-	1	NA	NA	NA	NA	19	HeLa
SRSF6	ENSG00000003096	KLHL13	protein_coding	1	1	1	SRSF6:CH2083	chrX	117914354	117914354	117914354	117914354	-	1	NA	NA	NA	NA	17	HeLa
SRSF6	ENSG00000003756	RBM5	protein_coding	1	1	1	SRSF6:CH1377	chr3	50102898	50102898	50102898	50102898	+	1	NA	NA	NA	NA	32	HeLa
SRSF6	ENSG00000004478	FKBP4	protein_coding	1	1	1	SRSF6:CH439	chr12	2798728	2798728	2798728	2798728	+	1	NA	NA	NA	NA	12	HeLa
SRSF6	ENSG00000004534	RBM6	protein_coding	1	1	1	SRSF6:CH1376	chr3	50062012	50062051	50062012	50062051	+	1	NA	NA	NA	NA	31	HeLa
SRSF6	ENSG00000004975	DVL2	protein_coding	1	1	1	SRSF6:CH799	chr17	7227050	7227050	7227050	7227050	-	1	NA	NA	NA	NA	21	HeLa
SRSF6	ENSG00000005007	UPF1	protein_coding	1	1	1	SRSF6:CH1035	chr19	18849417	18849417	18849417	18849417	+	1	NA	NA	NA	NA	20	HeLa
SRSF6	ENSG00000005339	CREBBP	protein_coding	1	1	1	SRSF6:CH722	chr16	3729723	3729723	3729723	3729723	-	1	NA	NA	NA	NA	27	HeLa
SRSF6	ENSG00000005884	ITGA3	protein_coding	1	1	1	SRSF6:CH885	chr17	50081526	50081526	50081526	50081526	+	1	NA	NA	NA	NA	15	HeLa
SRSF6	ENSG00000005889	ZFX	protein_coding	1	1	1	SRSF6:CH2046	chrX	24209004	24209004	24209004	24209004	+	1	NA	NA	NA	NA	31	HeLa
SRSF6	ENSG00000006704	GTF2IRD1	protein_coding	1	1	1	SRSF6:CH1795	chr7	74534769	74534769	74534769	74534769	+	1	NA	NA	NA	NA	21	HeLa
SRSF6	ENSG00000006712	PAF1	protein_coding	2	1	2	SRSF6:CH1051	chr19	39386342	39386342	39386342	39386342	-	1	NA	NA	NA	NA	11	HeLa
SRSF6	ENSG00000006712	PAF1	protein_coding	2	1	2	SRSF6:CH1052	chr19	39388866	39388866	39388866	39388866	-	1	NA	NA	NA	NA	11	HeLa
SRSF6	ENSG00000007038	PRSS21	protein_coding	2	1	2	SRSF6:CH719	chr16	2818935	2818974	2818935	2818974	+	1	NA	NA	NA	NA	7	HeLa
SRSF6	ENSG00000007038	PRSS21	protein_coding	2	1	2	SRSF6:CH720	chr16	2819789	2819789	2819789	2819789	+	1	NA	NA	NA	NA	7	HeLa
SRSF6	ENSG00000007202	KIAA0100	protein_coding	1	1	1	SRSF6:CH834	chr17	28635217	28635217	28635217	28635217	-	1	NA	NA	NA	NA	18	HeLa
