#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RBM22	ENSG00000000460	C1orf112	protein_coding	1	1	1	RBM22:CH604	chr1	169830791	169830830	169830791	169830830	+	1	-1.012	NA	NA	NA	28	K562
RBM22	ENSG00000000971	CFH	protein_coding	1	1	1	RBM22:CH678	chr1	196677710	196677749	196677710	196677749	+	1	NA	-0.840	NA	NA	15	K562
RBM22	ENSG00000001497	LAS1L	protein_coding	2	2	2	RBM22:CH5362	chrX	65529135	65529174	65529135	65529174	-	1	NA	NA	NA	NA	21	K562
RBM22	ENSG00000001497	LAS1L	protein_coding	2	2	2	RBM22:CH5363	chrX	65533528	65533567	65533528	65533567	-	1	NA	NA	NA	NA	21	K562
RBM22	ENSG00000001630	CYP51A1	protein_coding	2	2	3	RBM22:CH4682	chr7	92116972	92117011	92116972	92117011	-	1	-0.814	-0.996	NA	NA	13	K562
RBM22	ENSG00000001630	CYP51A1	protein_coding	2	2	3	RBM22:CH4683	chr7	92127471	92127471	92127471	92127471	-	2	-0.814	-0.996	NA	NA	13	K562
RBM22	ENSG00000003509	NDUFAF7	protein_coding	1	1	1	RBM22:CH2790	chr2	37241820	37241859	37241820	37241859	+	1	NA	NA	NA	NA	19	K562
RBM22	ENSG00000003756	RBM5	protein_coding	3	2	5	RBM22:CH3597	chr3	50100082	50100129	50100082	50100129	+	2	0.183	NA	NA	NA	23	K562
RBM22	ENSG00000003756	RBM5	protein_coding	3	2	5	RBM22:CH3598	chr3	50103201	50103240	50103201	50103240	+	1	0.183	NA	NA	NA	23	K562
RBM22	ENSG00000003756	RBM5	protein_coding	3	2	5	RBM22:CH3599	chr3	50117409	50117409	50117409	50117409	+	1	0.183	NA	NA	NA	23	K562
RBM22	ENSG00000004455	AK2	protein_coding	5	2	8	RBM22:CH251	chr1	33012004	33012044	33012004	33012044	-	2	-0.344	-0.324	NA	NA	22	K562
RBM22	ENSG00000004455	AK2	protein_coding	5	2	8	RBM22:CH252	chr1	33013132	33013176	33013132	33013176	-	2	-0.344	-0.324	NA	NA	22	K562
RBM22	ENSG00000004455	AK2	protein_coding	5	2	8	RBM22:CH253	chr1	33014428	33014467	33014428	33014467	-	1	-0.344	-0.324	NA	NA	22	K562
RBM22	ENSG00000004455	AK2	protein_coding	5	2	8	RBM22:CH254	chr1	33021287	33021326	33021287	33021326	-	1	-0.344	-0.324	NA	NA	22	K562
RBM22	ENSG00000004455	AK2	protein_coding	5	2	8	RBM22:CH255	chr1	33024370	33024409	33024370	33024409	-	1	-0.344	-0.324	NA	NA	22	K562
RBM22	ENSG00000004487	KDM1A	protein_coding	3	2	4	RBM22:CH140	chr1	23059201	23059201	23059201	23059201	+	1	-0.092	-0.241	NA	NA	24	K562
RBM22	ENSG00000004487	KDM1A	protein_coding	3	2	4	RBM22:CH141	chr1	23077405	23077456	23077405	23077456	+	2	-0.092	-0.241	NA	NA	24	K562
RBM22	ENSG00000004487	KDM1A	protein_coding	3	2	4	RBM22:CH142	chr1	23082390	23082429	23082390	23082429	+	1	-0.092	-0.241	NA	NA	24	K562
RBM22	ENSG00000004534	RBM6	protein_coding	3	2	7	RBM22:CH3594	chr3	49962715	49962715	49962715	49962715	+	2	1.013	0.651	NA	NA	15	K562
RBM22	ENSG00000004534	RBM6	protein_coding	3	2	7	RBM22:CH3595	chr3	49975420	49975476	49975420	49975476	+	2	1.013	0.651	NA	NA	15	K562
RBM22	ENSG00000004534	RBM6	protein_coding	3	2	7	RBM22:CH3596	chr3	50061579	50061619	50061579	50061619	+	2	1.013	0.651	NA	NA	15	K562
RBM22	ENSG00000004897	CDC27	protein_coding	3	2	4	RBM22:CH2304	chr17	47141785	47141824	47141785	47141824	-	1	-0.869	-0.262	NA	NA	22	K562
RBM22	ENSG00000004897	CDC27	protein_coding	3	2	4	RBM22:CH2305	chr17	47151728	47151776	47151728	47151776	-	2	-0.869	-0.262	NA	NA	22	K562
RBM22	ENSG00000004897	CDC27	protein_coding	3	2	4	RBM22:CH2306	chr17	47171847	47171886	47171847	47171886	-	1	-0.869	-0.262	NA	NA	22	K562
RBM22	ENSG00000005007	UPF1	protein_coding	1	1	1	RBM22:CH2625	chr19	18864287	18864287	18864287	18864287	+	1	-0.471	0.554	NA	NA	16	K562
RBM22	ENSG00000005156	LIG3	protein_coding	1	1	1	RBM22:CH2244	chr17	34994471	34994510	34994471	34994510	+	1	-1.420	-0.475	NA	NA	15	K562
RBM22	ENSG00000005187	ACSM3	protein_coding	5	2	7	RBM22:CH1973	chr16	20764159	20764198	20764159	20764198	+	2	-0.400	-0.214	NA	NA	13	K562
RBM22	ENSG00000005187	ACSM3	protein_coding	5	2	7	RBM22:CH1974	chr16	20776078	20776117	20776078	20776117	+	1	-0.400	-0.214	NA	NA	13	K562
RBM22	ENSG00000005187	ACSM3	protein_coding	5	2	7	RBM22:CH1975	chr16	20777612	20777612	20777612	20777612	+	1	-0.400	-0.214	NA	NA	13	K562
RBM22	ENSG00000005187	ACSM3	protein_coding	5	2	7	RBM22:CH1976	chr16	20784535	20784574	20784535	20784574	+	2	-0.400	-0.214	NA	NA	13	K562
RBM22	ENSG00000005187	ACSM3	protein_coding	5	2	7	RBM22:CH1977	chr16	20790720	20790759	20790720	20790759	+	1	-0.400	-0.214	NA	NA	13	K562
RBM22	ENSG00000005189	REXO5	protein_coding	1	1	1	RBM22:CH1978	chr16	20844049	20844088	20844049	20844088	+	1	-1.666	NA	NA	NA	19	K562
RBM22	ENSG00000005249	PRKAR2B	protein_coding	2	2	3	RBM22:CH4722	chr7	107128328	107128367	107128328	107128367	+	2	-0.460	-0.639	NA	NA	16	K562
RBM22	ENSG00000005249	PRKAR2B	protein_coding	2	2	3	RBM22:CH4723	chr7	107146499	107146538	107146499	107146538	+	1	-0.460	-0.639	NA	NA	16	K562
RBM22	ENSG00000005339	CREBBP	protein_coding	2	2	2	RBM22:CH1956	chr16	3757774	3757774	3757774	3757774	-	1	NA	0.505	NA	NA	18	K562
RBM22	ENSG00000005339	CREBBP	protein_coding	2	2	2	RBM22:CH1957	chr16	3780659	3780698	3780659	3780698	-	1	NA	0.505	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4708	chr7	105014564	105014608	105014564	105014608	+	2	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4709	chr7	105063608	105063647	105063608	105063647	+	2	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4710	chr7	105066844	105066884	105066844	105066884	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4711	chr7	105073710	105073749	105073710	105073749	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4712	chr7	105078995	105079034	105078995	105079034	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4713	chr7	105081822	105081861	105081822	105081861	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4714	chr7	105102239	105102278	105102239	105102278	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4715	chr7	105105751	105105751	105105751	105105751	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005483	KMT2E	protein_coding	9	2	13	RBM22:CH4716	chr7	105106823	105106862	105106823	105106862	+	1	NA	NA	NA	NA	18	K562
RBM22	ENSG00000005700	IBTK	protein_coding	1	1	1	RBM22:CH4419	chr6	82191696	82191735	82191696	82191735	-	1	-0.469	-0.286	NA	NA	21	K562
RBM22	ENSG00000005801	ZNF195	protein_coding	2	1	2	RBM22:CH994	chr11	3361667	3361706	3361667	3361706	-	1	2.280	0.192	NA	NA	21	K562
RBM22	ENSG00000005801	ZNF195	protein_coding	2	1	2	RBM22:CH995	chr11	3368691	3368730	3368691	3368730	-	1	2.280	0.192	NA	NA	21	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2247	chr17	35594111	35594150	35594111	35594150	+	1	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2248	chr17	35598366	35598416	35598366	35598416	+	2	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2249	chr17	35608412	35608451	35608412	35608451	+	1	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2250	chr17	35624619	35624658	35624619	35624658	+	1	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2251	chr17	35627760	35627760	35627760	35627760	+	1	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2252	chr17	35636487	35636526	35636487	35636526	+	1	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006125	AP2B1	protein_coding	7	2	9	RBM22:CH2253	chr17	35642021	35642060	35642021	35642060	+	1	0.355	-0.509	NA	NA	26	K562
RBM22	ENSG00000006576	PHTF2	protein_coding	1	1	1	RBM22:CH4669	chr7	77901952	77901991	77901952	77901991	+	1	-0.660	-0.366	NA	NA	20	K562
RBM22	ENSG00000006634	DBF4	protein_coding	3	2	5	RBM22:CH4678	chr7	87887430	87887469	87887430	87887469	+	1	-0.994	NA	NA	NA	18	K562
RBM22	ENSG00000006634	DBF4	protein_coding	3	2	5	RBM22:CH4679	chr7	87888109	87888151	87888109	87888151	+	2	-0.994	NA	NA	NA	18	K562
RBM22	ENSG00000006634	DBF4	protein_coding	3	2	5	RBM22:CH4680	chr7	87896539	87896578	87896539	87896578	+	2	-0.994	NA	NA	NA	18	K562
RBM22	ENSG00000006652	IFRD1	protein_coding	1	1	1	RBM22:CH4728	chr7	112459040	112459079	112459040	112459079	+	1	0.469	-0.132	NA	NA	18	K562
RBM22	ENSG00000006704	GTF2IRD1	protein_coding	1	1	1	RBM22:CH4665	chr7	74596809	74596809	74596809	74596809	+	1	0.105	0.247	NA	NA	14	K562
RBM22	ENSG00000006715	VPS41	protein_coding	1	2	2	RBM22:CH4634	chr7	38754626	38754666	38754626	38754666	-	2	0.615	-0.391	NA	NA	18	K562
RBM22	ENSG00000007168	PAFAH1B1	protein_coding	2	2	4	RBM22:CH2157	chr17	2674318	2674360	2674318	2674360	+	2	0.474	NA	NA	NA	21	K562
RBM22	ENSG00000007168	PAFAH1B1	protein_coding	2	2	4	RBM22:CH2158	chr17	2676633	2676672	2676633	2676672	+	2	0.474	NA	NA	NA	21	K562
RBM22	ENSG00000007202	KIAA0100	protein_coding	3	2	4	RBM22:CH2218	chr17	28617158	28617197	28617158	28617197	-	1	-0.817	-0.359	NA	NA	15	K562
RBM22	ENSG00000007202	KIAA0100	protein_coding	3	2	4	RBM22:CH2219	chr17	28631389	28631428	28631389	28631428	-	1	-0.817	-0.359	NA	NA	15	K562
RBM22	ENSG00000007202	KIAA0100	protein_coding	3	2	4	RBM22:CH2220	chr17	28634430	28634470	28634430	28634470	-	2	-0.817	-0.359	NA	NA	15	K562
RBM22	ENSG00000007392	LUC7L	protein_coding	3	2	4	RBM22:CH1923	chr16	192831	192891	192831	192891	-	1	0.365	0.303	NA	NA	16	K562
RBM22	ENSG00000007392	LUC7L	protein_coding	3	2	4	RBM22:CH1924	chr16	220621	220621	220621	220621	-	1	0.365	0.303	NA	NA	16	K562
RBM22	ENSG00000007392	LUC7L	protein_coding	3	2	4	RBM22:CH1925	chr16	229192	229231	229192	229231	-	1	0.365	0.303	NA	NA	16	K562
RBM22	ENSG00000007545	CRAMP1	protein_coding	2	1	2	RBM22:CH1930	chr16	1637954	1637954	1637954	1637954	+	1	0.379	0.801	NA	NA	20	K562
RBM22	ENSG00000007545	CRAMP1	protein_coding	2	1	2	RBM22:CH1931	chr16	1669202	1669241	1669202	1669241	+	1	0.379	0.801	NA	NA	20	K562
RBM22	ENSG00000007923	DNAJC11	protein_coding	1	2	3	RBM22:CH29	chr1	6651455	6651499	6651455	6651499	-	2	NA	0.266	NA	NA	18	K562
RBM22	ENSG00000007944	MYLIP	protein_coding	2	2	3	RBM22:CH4249	chr6	16130783	16130827	16130783	16130827	+	2	NA	0.467	NA	NA	20	K562
RBM22	ENSG00000007944	MYLIP	protein_coding	2	2	3	RBM22:CH4250	chr6	16143238	16143277	16143238	16143277	+	1	NA	0.467	NA	NA	20	K562
RBM22	ENSG00000008130	NADK	protein_coding	2	2	3	RBM22:CH22	chr1	1756183	1756222	1756183	1756222	-	1	0.313	0.560	NA	NA	17	K562
RBM22	ENSG00000008130	NADK	protein_coding	2	2	3	RBM22:CH23	chr1	1765159	1765198	1765159	1765198	-	2	0.313	0.560	NA	NA	17	K562
RBM22	ENSG00000008294	SPAG9	protein_coding	1	1	1	RBM22:CH2326	chr17	51005133	51005172	51005133	51005172	-	1	-0.139	-0.426	NA	NA	22	K562
RBM22	ENSG00000008838	MED24	protein_coding	1	1	2	RBM22:CH2266	chr17	40026081	40026123	40026081	40026123	-	1	-0.567	NA	NA	NA	14	K562
RBM22	ENSG00000008952	SEC62	protein_coding	1	1	1	RBM22:CH3695	chr3	169983280	169983319	169983280	169983319	+	1	NA	-0.358	NA	NA	15	K562
RBM22	ENSG00000008988	RPS20	protein_coding	2	1	3	RBM22:CH4966	chr8	56073660	56073660	56073660	56073660	-	1	-0.073	-0.091	NA	NA	18	K562
RBM22	ENSG00000008988	RPS20	protein_coding	2	1	3	RBM22:CH4968	chr8	56073953	56074002	56073953	56074002	-	1	-0.073	-0.091	NA	NA	18	K562
RBM22	ENSG00000009307	CSDE1	protein_coding	2	1	2	RBM22:CH491	chr1	114717467	114717506	114717467	114717506	-	1	0.165	-0.337	NA	NA	23	K562
RBM22	ENSG00000009307	CSDE1	protein_coding	2	1	2	RBM22:CH492	chr1	114730177	114730216	114730177	114730216	-	1	0.165	-0.337	NA	NA	23	K562
RBM22	ENSG00000009335	UBE3C	protein_coding	5	2	7	RBM22:CH4862	chr7	157170482	157170521	157170482	157170521	+	1	0.170	NA	NA	NA	15	K562
RBM22	ENSG00000009335	UBE3C	protein_coding	5	2	7	RBM22:CH4863	chr7	157181700	157181741	157181700	157181741	+	1	0.170	NA	NA	NA	15	K562
RBM22	ENSG00000009335	UBE3C	protein_coding	5	2	7	RBM22:CH4864	chr7	157187093	157187132	157187093	157187132	+	1	0.170	NA	NA	NA	15	K562
RBM22	ENSG00000009335	UBE3C	protein_coding	5	2	7	RBM22:CH4865	chr7	157216985	157217058	157216985	157217058	+	2	0.170	NA	NA	NA	15	K562
RBM22	ENSG00000009335	UBE3C	protein_coding	5	2	7	RBM22:CH4866	chr7	157225566	157225605	157225566	157225605	+	1	0.170	NA	NA	NA	15	K562
RBM22	ENSG00000009413	REV3L	protein_coding	1	1	1	RBM22:CH4462	chr6	111322500	111322539	111322500	111322539	-	1	0.248	-0.479	NA	NA	19	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4655	chr7	73442579	73442618	73442579	73442618	-	1	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4656	chr7	73443908	73443947	73443908	73443947	-	1	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4657	chr7	73447175	73447231	73447175	73447231	-	2	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4658	chr7	73459469	73459508	73459469	73459508	-	1	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4659	chr7	73469447	73469486	73469447	73469486	-	1	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4660	chr7	73492716	73492755	73492716	73492755	-	1	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000009954	BAZ1B	protein_coding	7	2	9	RBM22:CH4661	chr7	73510647	73510697	73510647	73510697	-	2	-0.631	NA	NA	NA	20	K562
RBM22	ENSG00000010017	RANBP9	protein_coding	1	1	1	RBM22:CH4248	chr6	13652577	13652616	13652577	13652616	-	1	-0.369	NA	NA	NA	16	K562
RBM22	ENSG00000010244	ZNF207	protein_coding	6	2	9	RBM22:CH2237	chr17	32351941	32351980	32351941	32351980	+	1	NA	-0.131	NA	NA	25	K562
RBM22	ENSG00000010244	ZNF207	protein_coding	6	2	9	RBM22:CH2238	chr17	32360808	32360847	32360808	32360847	+	1	NA	-0.131	NA	NA	25	K562
RBM22	ENSG00000010244	ZNF207	protein_coding	6	2	9	RBM22:CH2239	chr17	32365521	32365560	32365521	32365560	+	1	NA	-0.131	NA	NA	25	K562
RBM22	ENSG00000010244	ZNF207	protein_coding	6	2	9	RBM22:CH2240	chr17	32368048	32368091	32368048	32368091	+	2	NA	-0.131	NA	NA	25	K562
RBM22	ENSG00000010244	ZNF207	protein_coding	6	2	9	RBM22:CH2241	chr17	32369486	32369525	32369486	32369525	+	1	NA	-0.131	NA	NA	25	K562
RBM22	ENSG00000010244	ZNF207	protein_coding	6	2	9	RBM22:CH2242	chr17	32370111	32370151	32370111	32370151	+	2	NA	-0.131	NA	NA	25	K562
