#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EIF3H	ENSG00000002822	MAD1L1	protein_coding	1	1	1	EIF3H:CH3469	chr7	2219349	2219388	2219349	2219388	-	1	NA	NA	NA	0.577	16	HepG2
EIF3H	ENSG00000003402	CFLAR	protein_coding	1	1	1	EIF3H:CH2258	chr2	201137199	201137238	201137199	201137238	+	1	NA	NA	NA	NA	24	HepG2
EIF3H	ENSG00000003756	RBM5	protein_coding	2	1	2	EIF3H:CH2906	chr3	50115523	50115562	50115523	50115562	+	1	NA	NA	NA	NA	22	HepG2
EIF3H	ENSG00000003756	RBM5	protein_coding	2	1	2	EIF3H:CH2907	chr3	50118635	50118674	50118635	50118674	+	1	NA	NA	NA	NA	22	HepG2
EIF3H	ENSG00000004399	PLXND1	protein_coding	1	1	1	EIF3H:CH2960	chr3	129555641	129555680	129555641	129555680	-	1	NA	NA	-0.595	0.324	21	HepG2
EIF3H	ENSG00000004534	RBM6	protein_coding	5	1	5	EIF3H:CH2901	chr3	49940165	49940204	49940165	49940204	+	1	NA	NA	NA	NA	18	HepG2
EIF3H	ENSG00000004534	RBM6	protein_coding	5	1	5	EIF3H:CH2902	chr3	49968260	49968299	49968260	49968299	+	1	NA	NA	NA	NA	18	HepG2
EIF3H	ENSG00000004534	RBM6	protein_coding	5	1	5	EIF3H:CH2903	chr3	50061987	50062026	50061987	50062026	+	1	NA	NA	NA	NA	18	HepG2
EIF3H	ENSG00000004534	RBM6	protein_coding	5	1	5	EIF3H:CH2904	chr3	50065070	50065109	50065070	50065109	+	1	NA	NA	NA	NA	18	HepG2
EIF3H	ENSG00000004534	RBM6	protein_coding	5	1	5	EIF3H:CH2905	chr3	50075236	50075275	50075236	50075275	+	1	NA	NA	NA	NA	18	HepG2
EIF3H	ENSG00000005007	UPF1	protein_coding	2	1	2	EIF3H:CH1863	chr19	18866655	18866694	18866655	18866694	+	1	NA	NA	-0.429	NA	9	HepG2
EIF3H	ENSG00000005007	UPF1	protein_coding	2	1	2	EIF3H:CH1864	chr19	18867513	18867552	18867513	18867552	+	1	NA	NA	-0.429	NA	9	HepG2
EIF3H	ENSG00000005100	DHX33	protein_coding	1	1	1	EIF3H:CH1463	chr17	5443076	5443115	5443076	5443115	-	1	NA	NA	NA	NA	17	HepG2
EIF3H	ENSG00000005339	CREBBP	protein_coding	2	2	3	EIF3H:CH1174	chr16	3850782	3850821	3850782	3850821	-	1	NA	NA	-0.218	0.194	16	HepG2
EIF3H	ENSG00000005339	CREBBP	protein_coding	2	2	3	EIF3H:CH1175	chr16	3880358	3880413	3880358	3880413	-	2	NA	NA	-0.218	0.194	16	HepG2
EIF3H	ENSG00000005810	MYCBP2	protein_coding	1	1	1	EIF3H:CH873	chr13	77326570	77326609	77326570	77326609	-	1	NA	NA	NA	NA	19	HepG2
EIF3H	ENSG00000006007	GDE1	protein_coding	1	1	1	EIF3H:CH1219	chr16	19521972	19522011	19521972	19522011	-	1	NA	NA	NA	NA	18	HepG2
