#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HNRNPK	ENSG00000000419	DPM1	protein_coding	2	1	2	HNRNPK:CH36366	chr20	50937520	50937559	50937520	50937559	-	1	-0.635	NA	NA	NA	29	HepG2
HNRNPK	ENSG00000000419	DPM1	protein_coding	2	1	2	HNRNPK:CH36367	chr20	50944539	50944578	50944539	50944578	-	1	-0.635	NA	NA	NA	29	HepG2
HNRNPK	ENSG00000000460	C1orf112	protein_coding	1	1	1	HNRNPK:CH4184	chr1	169796283	169796322	169796283	169796322	+	1	NA	0.444	NA	NA	30	HeLa
HNRNPK	ENSG00000001036	FUCA2	protein_coding	2	2	2	HNRNPK:CH49079	chr6	143496727	143496766	143496727	143496766	-	1	NA	0.299	NA	NA	18	HepG2
HNRNPK	ENSG00000001036	FUCA2	protein_coding	2	2	2	HNRNPK:CH49080	chr6	143498519	143498558	143498519	143498558	-	1	NA	0.299	NA	NA	18	HeLa
HNRNPK	ENSG00000001084	GCLC	protein_coding	13	3	17	HNRNPK:CH48404	chr6	53504573	53504612	53504573	53504612	-	1	NA	NA	NA	NA	31	HepG2
HNRNPK	ENSG00000001084	GCLC	protein_coding	13	3	17	HNRNPK:CH48405	chr6	53509669	53509708	53509669	53509708	-	1	NA	NA	NA	NA	31	HeLa
HNRNPK	ENSG00000001084	GCLC	protein_coding	13	3	17	HNRNPK:CH48406	chr6	53510087	53510133	53510087	53510133	-	2	NA	NA	NA	NA	31	HepG2
HNRNPK	ENSG00000001084	GCLC	protein_coding	13	3	17	HNRNPK:CH48407	chr6	53511765	53511811	53511765	53511811	-	2	NA	NA	NA	NA	31	HepG2
HNRNPK	ENSG00000001084	GCLC	protein_coding	13	3	17	HNRNPK:CH48409	chr6	53529832	53529871	53529832	53529871	-	1	NA	NA	NA	NA	31	HepG2
