#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
NAT10	ENSG00000003056	M6PR	protein_coding	1	1	1	NAT10:CH683	chr12	8940404	8940404	8940404	8940404	-	1	NA	NA	NA	NA	28	CEM
NAT10	ENSG00000004142	POLDIP2	protein_coding	1	1	1	NAT10:CH1337	chr17	28348006	28348045	28348006	28348045	-	1	NA	NA	NA	NA	26	CEM
NAT10	ENSG00000004487	KDM1A	protein_coding	1	1	2	NAT10:CH65	chr1	23073374	23073379	23073374	23073379	+	1	NA	NA	NA	NA	24	CEM
NAT10	ENSG00000005007	UPF1	protein_coding	2	1	2	NAT10:CH1616	chr19	18832216	18832255	18832216	18832255	+	1	NA	NA	NA	NA	29	CEM
NAT10	ENSG00000005007	UPF1	protein_coding	2	1	2	NAT10:CH1617	chr19	18867941	18867941	18867941	18867941	+	1	NA	NA	NA	NA	29	CEM
NAT10	ENSG00000005483	KMT2E	protein_coding	2	1	2	NAT10:CH2762	chr7	105051043	105051043	105051043	105051043	+	1	NA	NA	NA	NA	23	CEM
NAT10	ENSG00000005483	KMT2E	protein_coding	2	1	2	NAT10:CH2763	chr7	105063365	105063365	105063365	105063365	+	1	NA	NA	NA	NA	23	CEM
NAT10	ENSG00000005810	MYCBP2	protein_coding	4	1	4	NAT10:CH919	chr13	77061650	77061689	77061650	77061689	-	1	NA	NA	NA	NA	21	CEM
NAT10	ENSG00000005810	MYCBP2	protein_coding	4	1	4	NAT10:CH920	chr13	77121433	77121472	77121433	77121472	-	1	NA	NA	NA	NA	21	CEM
NAT10	ENSG00000005810	MYCBP2	protein_coding	4	1	4	NAT10:CH921	chr13	77144453	77144492	77144453	77144492	-	1	NA	NA	NA	NA	21	CEM
NAT10	ENSG00000005810	MYCBP2	protein_coding	4	1	4	NAT10:CH922	chr13	77326685	77326685	77326685	77326685	-	1	NA	NA	NA	NA	21	CEM
NAT10	ENSG00000005893	LAMP2	protein_coding	2	1	2	NAT10:CH3171	chrX	120446392	120446392	120446392	120446392	-	1	NA	NA	NA	NA	10	CEM
NAT10	ENSG00000005893	LAMP2	protein_coding	2	1	2	NAT10:CH3172	chrX	120447935	120447974	120447935	120447974	-	1	NA	NA	NA	NA	10	CEM
NAT10	ENSG00000006125	AP2B1	protein_coding	1	1	1	NAT10:CH1356	chr17	35725052	35725052	35725052	35725052	+	1	NA	NA	NA	NA	29	CEM
NAT10	ENSG00000006744	ELAC2	protein_coding	1	1	1	NAT10:CH1319	chr17	13002487	13002487	13002487	13002487	-	1	NA	NA	NA	NA	26	CEM
NAT10	ENSG00000007080	CCDC124	protein_coding	1	1	1	NAT10:CH1611	chr19	17936518	17936557	17936518	17936557	+	1	NA	NA	NA	NA	11	CEM
NAT10	ENSG00000007168	PAFAH1B1	protein_coding	1	1	1	NAT10:CH1280	chr17	2681788	2681827	2681788	2681827	+	1	NA	NA	NA	NA	16	CEM
NAT10	ENSG00000007202	KIAA0100	protein_coding	2	1	2	NAT10:CH1339	chr17	28634696	28634696	28634696	28634696	-	1	NA	NA	NA	NA	29	CEM
NAT10	ENSG00000007202	KIAA0100	protein_coding	2	1	2	NAT10:CH1340	chr17	28635370	28635409	28635370	28635409	-	1	NA	NA	NA	NA	29	CEM
NAT10	ENSG00000007541	PIGQ	protein_coding	1	1	1	NAT10:CH1130	chr16	578913	578913	578913	578913	+	1	NA	NA	NA	NA	13	CEM
NAT10	ENSG00000008256	CYTH3	protein_coding	1	1	1	NAT10:CH2704	chr7	6175199	6175238	6175199	6175238	-	1	NA	NA	NA	NA	15	CEM
NAT10	ENSG00000008277	ADAM22	protein_coding	2	1	2	NAT10:CH2749	chr7	88167556	88167556	88167556	88167556	+	1	NA	NA	NA	NA	13	CEM
NAT10	ENSG00000008277	ADAM22	protein_coding	2	1	2	NAT10:CH2750	chr7	88169382	88169421	88169382	88169421	+	1	NA	NA	NA	NA	13	CEM
NAT10	ENSG00000008294	SPAG9	protein_coding	1	1	1	NAT10:CH1400	chr17	51079643	51079682	51079643	51079682	-	1	NA	NA	NA	NA	23	CEM
NAT10	ENSG00000008988	RPS20	protein_coding	1	1	1	NAT10:CH2855	chr8	56074417	56074456	56074417	56074456	-	1	NA	NA	NA	NA	12	CEM
