#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
DDX54	ENSG00000000419	DPM1	protein_coding	1	2	3	DDX54:CH41685	chr20	50955226	50955265	50955226	50955265	-	2	NA	NA	NA	NA	15	MCF7
DDX54	ENSG00000000457	SCYL3	protein_coding	1	1	1	DDX54:CH4769	chr1	169868991	169868991	169868991	169868991	-	1	NA	NA	NA	NA	17	MCF7
DDX54	ENSG00000000460	C1orf112	protein_coding	2	3	4	DDX54:CH4765	chr1	169803239	169803239	169803239	169803239	+	1	NA	NA	NA	NA	17	MCF7
DDX54	ENSG00000000460	C1orf112	protein_coding	2	3	4	DDX54:CH4766	chr1	169832443	169832468	169832443	169832468	+	2	NA	NA	NA	NA	17	MCF7
DDX54	ENSG00000001084	GCLC	protein_coding	2	2	6	DDX54:CH55022	chr6	53514248	53514296	53514248	53514296	-	2	NA	NA	NA	NA	14	MCF7
DDX54	ENSG00000001084	GCLC	protein_coding	2	2	6	DDX54:CH55023	chr6	53544882	53544882	53544882	53544882	-	1	NA	NA	NA	NA	14	MCF7
DDX54	ENSG00000001167	NFYA	protein_coding	2	2	3	DDX54:CH54760	chr6	41073505	41073518	41073505	41073518	+	1	NA	NA	NA	NA	11	MCF7
DDX54	ENSG00000001167	NFYA	protein_coding	2	2	3	DDX54:CH54761	chr6	41097666	41097666	41097666	41097666	+	1	NA	NA	NA	NA	11	MCF7
DDX54	ENSG00000001461	NIPAL3	protein_coding	2	2	2	DDX54:CH1068	chr1	24425000	24425000	24425000	24425000	+	1	NA	NA	NA	NA	15	MCF7
DDX54	ENSG00000001461	NIPAL3	protein_coding	2	2	2	DDX54:CH1069	chr1	24434504	24434504	24434504	24434504	+	1	NA	NA	NA	NA	15	MCF7
DDX54	ENSG00000001497	LAS1L	protein_coding	6	5	30	DDX54:CH66111	chrX	65518016	65518234	65518016	65518234	-	5	NA	NA	NA	NA	28	MCF7
DDX54	ENSG00000001497	LAS1L	protein_coding	6	5	30	DDX54:CH66112	chrX	65520986	65520986	65520986	65520986	-	1	NA	NA	NA	NA	28	MCF7
DDX54	ENSG00000001497	LAS1L	protein_coding	6	5	30	DDX54:CH66113	chrX	65521312	65521312	65521312	65521312	-	1	NA	NA	NA	NA	28	MCF7
DDX54	ENSG00000001497	LAS1L	protein_coding	6	5	30	DDX54:CH66114	chrX	65523657	65523657	65523657	65523657	-	1	NA	NA	NA	NA	28	MCF7
DDX54	ENSG00000001497	LAS1L	protein_coding	6	5	30	DDX54:CH66115	chrX	65529063	65529063	65529063	65529063	-	1	NA	NA	NA	NA	28	MCF7
DDX54	ENSG00000001497	LAS1L	protein_coding	6	5	30	DDX54:CH66116	chrX	65529627	65529804	65529627	65529804	-	5	NA	NA	NA	NA	28	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46019	chr3	50155340	50155345	50155340	50155345	+	2	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46020	chr3	50157269	50157269	50157269	50157269	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46021	chr3	50159598	50159642	50159598	50159642	+	2	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46022	chr3	50169290	50169292	50169290	50169292	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46023	chr3	50173835	50173874	50173835	50173874	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46024	chr3	50174791	50174791	50174791	50174791	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46025	chr3	50175090	50175090	50175090	50175090	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46026	chr3	50175938	50176091	50175938	50176091	+	4	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46027	chr3	50184699	50184699	50184699	50184699	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46028	chr3	50185494	50185526	50185494	50185526	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46029	chr3	50185954	50185954	50185954	50185954	+	1	NA	NA	NA	NA	13	MCF7
DDX54	ENSG00000001617	SEMA3F	protein_coding	13	5	36	DDX54:CH46030	chr3	50187832	50187842	50187832	50187842	+	1	NA	NA	NA	NA	13	MCF7
