#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RNF10	ENSG00000000003	TSPAN6	protein_coding	2	1	2	RNF10:CH23331	chrX	100629949	100629949	100629949	100629949	-	1	NA	NA	NA	NA	14	HEK293
RNF10	ENSG00000000003	TSPAN6	protein_coding	2	1	2	RNF10:CH23332	chrX	100635670	100635709	100635670	100635709	-	1	NA	NA	NA	NA	14	HEK293
RNF10	ENSG00000001036	FUCA2	protein_coding	2	1	3	RNF10:CH20013	chr6	143503981	143503989	143503981	143503989	-	1	NA	NA	NA	NA	19	HEK293
RNF10	ENSG00000001036	FUCA2	protein_coding	2	1	3	RNF10:CH20014	chr6	143506689	143506728	143506689	143506728	-	1	NA	NA	NA	NA	19	HEK293
RNF10	ENSG00000001084	GCLC	protein_coding	1	1	1	RNF10:CH19662	chr6	53512192	53512192	53512192	53512192	-	1	NA	NA	NA	NA	16	HEK293
RNF10	ENSG00000001167	NFYA	protein_coding	3	1	5	RNF10:CH19523	chr6	41092934	41092934	41092934	41092934	+	1	NA	NA	NA	NA	17	HEK293
RNF10	ENSG00000001167	NFYA	protein_coding	3	1	5	RNF10:CH19524	chr6	41097704	41097743	41097704	41097743	+	1	NA	NA	NA	NA	17	HEK293
RNF10	ENSG00000001167	NFYA	protein_coding	3	1	5	RNF10:CH19525	chr6	41098773	41098867	41098773	41098867	+	1	NA	NA	NA	NA	17	HEK293
RNF10	ENSG00000001461	NIPAL3	protein_coding	1	1	1	RNF10:CH489	chr1	24471201	24471240	24471201	24471240	+	1	NA	NA	NA	NA	16	HEK293
RNF10	ENSG00000001497	LAS1L	protein_coding	1	1	1	RNF10:CH23195	chrX	65518178	65518178	65518178	65518178	-	1	NA	NA	NA	NA	14	HEK293
RNF10	ENSG00000001630	CYP51A1	protein_coding	1	1	2	RNF10:CH20632	chr7	92134210	92134255	92134210	92134255	-	1	NA	NA	NA	NA	15	HEK293
