#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SND1	ENSG00000000003	TSPAN6	protein_coding	3	2	4	SND1:CH23769	chrX	100630815	100630854	100630815	100630854	-	1	NA	NA	NA	NA	15	HepG2
SND1	ENSG00000000003	TSPAN6	protein_coding	3	2	4	SND1:CH23770	chrX	100633404	100633456	100633404	100633456	-	2	NA	NA	NA	NA	15	HepG2
SND1	ENSG00000000003	TSPAN6	protein_coding	3	2	4	SND1:CH23771	chrX	100635563	100635602	100635563	100635602	-	1	NA	NA	NA	NA	15	HepG2
SND1	ENSG00000000419	DPM1	protein_coding	3	1	3	SND1:CH14753	chr20	50936167	50936206	50936167	50936206	-	1	-0.226	NA	NA	NA	15	K562
SND1	ENSG00000000419	DPM1	protein_coding	3	1	3	SND1:CH14754	chr20	50942070	50942109	50942070	50942109	-	1	-0.226	NA	NA	NA	15	K562
SND1	ENSG00000000419	DPM1	protein_coding	3	1	3	SND1:CH14755	chr20	50958388	50958427	50958388	50958427	-	1	-0.226	NA	NA	NA	15	K562
SND1	ENSG00000000460	C1orf112	protein_coding	1	1	1	SND1:CH2292	chr1	169807881	169807920	169807881	169807920	+	1	-0.673	NA	NA	NA	20	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2482	chr1	196673008	196673151	196673008	196673151	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2483	chr1	196673875	196673925	196673875	196673925	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2484	chr1	196676000	196676052	196676000	196676052	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2485	chr1	196677555	196677627	196677555	196677627	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2486	chr1	196679726	196679778	196679726	196679778	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2487	chr1	196685098	196685203	196685098	196685203	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2488	chr1	196689431	196689585	196689431	196689585	+	2	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2490	chr1	196690140	196690179	196690140	196690179	+	1	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2491	chr1	196713773	196713812	196713773	196713812	+	1	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2492	chr1	196715668	196715707	196715668	196715707	+	1	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2493	chr1	196725241	196725280	196725241	196725280	+	1	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2494	chr1	196728431	196728470	196728431	196728470	+	1	NA	0.629	NA	NA	16	K562
SND1	ENSG00000000971	CFH	protein_coding	13	2	20	SND1:CH2495	chr1	196740630	196740669	196740630	196740669	+	1	NA	0.629	NA	NA	16	K562
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20192	chr6	143495799	143495838	143495799	143495838	-	1	-0.232	NA	NA	NA	17	HepG2
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20193	chr6	143497394	143497449	143497394	143497449	-	3	-0.232	NA	NA	NA	17	HepG2,K562
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20195	chr6	143501994	143502035	143501994	143502035	-	3	-0.232	NA	NA	NA	17	HepG2,K562
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20196	chr6	143502379	143502422	143502379	143502422	-	2	-0.232	NA	NA	NA	17	HepG2
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20197	chr6	143503927	143504094	143503927	143504094	-	3	-0.232	NA	NA	NA	17	HepG2,K562
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20199	chr6	143507254	143507305	143507254	143507305	-	3	-0.232	NA	NA	NA	17	HepG2,K562
SND1	ENSG00000001036	FUCA2	protein_coding	7	4	18	SND1:CH20200	chr6	143511463	143511572	143511463	143511572	-	3	-0.232	NA	NA	NA	17	HepG2,K562
SND1	ENSG00000001461	NIPAL3	protein_coding	1	1	1	SND1:CH596	chr1	24449521	24449560	24449521	24449560	+	1	NA	NA	NA	NA	18	K562
SND1	ENSG00000001497	LAS1L	protein_coding	2	1	2	SND1:CH23611	chrX	65518416	65518455	65518416	65518455	-	1	NA	NA	NA	NA	19	K562
SND1	ENSG00000001497	LAS1L	protein_coding	2	1	2	SND1:CH23612	chrX	65529826	65529865	65529826	65529865	-	1	NA	NA	NA	NA	19	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20944	chr7	92113687	92113750	92113687	92113750	-	3	NA	NA	NA	NA	25	HepG2,K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20946	chr7	92117084	92117143	92117084	92117143	-	3	NA	NA	NA	NA	25	HepG2,K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20947	chr7	92119553	92119592	92119553	92119592	-	1	NA	NA	NA	NA	25	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20948	chr7	92123219	92123264	92123219	92123264	-	4	NA	NA	NA	NA	25	HepG2,K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20950	chr7	92123810	92123849	92123810	92123849	-	1	NA	NA	NA	NA	25	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20952	chr7	92126359	92126400	92126359	92126400	-	2	NA	NA	NA	NA	25	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20953	chr7	92127558	92127613	92127558	92127613	-	2	NA	NA	NA	NA	25	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20954	chr7	92128896	92129018	92128896	92129018	-	3	NA	NA	NA	NA	25	HepG2,K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20955	chr7	92131804	92131845	92131804	92131845	-	2	NA	NA	NA	NA	25	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20957	chr7	92132810	92132849	92132810	92132849	-	1	NA	NA	NA	NA	25	K562
SND1	ENSG00000001630	CYP51A1	protein_coding	11	4	25	SND1:CH20958	chr7	92134179	92134317	92134179	92134317	-	3	NA	NA	NA	NA	25	HepG2,K562
SND1	ENSG00000002549	LAP3	protein_coding	1	1	1	SND1:CH17351	chr4	17607527	17607566	17607527	17607566	+	1	-0.485	NA	NA	NA	13	HepG2
SND1	ENSG00000002586	CD99	protein_coding	4	3	8	SND1:CH23343	chrX	2726292	2726334	2726292	2726334	+	3	NA	NA	NA	NA	13	HepG2,K562
SND1	ENSG00000002586	CD99	protein_coding	4	3	8	SND1:CH23344	chrX	2738205	2738244	2738205	2738244	+	1	NA	NA	NA	NA	13	HepG2
SND1	ENSG00000002586	CD99	protein_coding	4	3	8	SND1:CH24202	chrY	2726292	2726334	2726292	2726334	+	3	NA	NA	NA	NA	13	HepG2,K562
SND1	ENSG00000002586	CD99	protein_coding	4	3	8	SND1:CH24203	chrY	2738205	2738244	2738205	2738244	+	1	NA	NA	NA	NA	13	HepG2
SND1	ENSG00000002822	MAD1L1	protein_coding	1	1	1	SND1:CH20468	chr7	2067370	2067409	2067370	2067409	-	1	NA	NA	NA	NA	21	HepG2
SND1	ENSG00000002834	LASP1	protein_coding	8	3	13	SND1:CH9615	chr17	38870168	38870207	38870168	38870207	+	1	-0.161	NA	NA	NA	24	K562
SND1	ENSG00000002834	LASP1	protein_coding	8	3	13	SND1:CH9616	chr17	38878128	38878167	38878128	38878167	+	1	-0.161	NA	NA	NA	24	K562
SND1	ENSG00000002834	LASP1	protein_coding	8	3	13	SND1:CH9617	chr17	38890433	38890475	38890433	38890475	+	2	-0.161	NA	NA	NA	24	HepG2,K562
SND1	ENSG00000002834	LASP1	protein_coding	8	3	13	SND1:CH9618	chr17	38914345	38914394	38914345	38914394	+	2	-0.161	NA	NA	NA	24	K562
SND1	ENSG00000002834	LASP1	protein_coding	8	3	13	SND1:CH9619	chr17	38915036	38915096	38915036	38915096	+	3	-0.161	NA	NA	NA	24	HepG2,K562
