#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RPS3	ENSG00000001036	FUCA2	protein_coding	2	1	2	RPS3:CH2754	chr6	143504156	143504195	143504156	143504195	-	1	NA	NA	NA	NA	13	HepG2
RPS3	ENSG00000001036	FUCA2	protein_coding	2	1	2	RPS3:CH2755	chr6	143511537	143511576	143511537	143511576	-	1	NA	NA	NA	NA	13	HepG2
RPS3	ENSG00000001630	CYP51A1	protein_coding	1	3	3	RPS3:CH2853	chr7	92134275	92134325	92134275	92134325	-	3	NA	NA	NA	NA	23	HepG2,K562
RPS3	ENSG00000002834	LASP1	protein_coding	1	2	2	RPS3:CH1202	chr17	38918697	38918774	38918697	38918774	+	2	NA	NA	NA	NA	19	HepG2
RPS3	ENSG00000003056	M6PR	protein_coding	1	1	1	RPS3:CH653	chr12	8941850	8941889	8941850	8941889	-	1	NA	NA	NA	NA	19	HepG2
RPS3	ENSG00000003436	TFPI	protein_coding	1	1	1	RPS3:CH1834	chr2	187503667	187503706	187503667	187503706	-	1	NA	NA	NA	NA	15	HepG2
RPS3	ENSG00000004779	NDUFAB1	protein_coding	2	3	3	RPS3:CH1030	chr16	23582290	23582329	23582290	23582329	-	1	NA	NA	NA	NA	25	K562
RPS3	ENSG00000004779	NDUFAB1	protein_coding	2	3	3	RPS3:CH1031	chr16	23596205	23596248	23596205	23596248	-	2	NA	NA	NA	NA	25	HepG2
RPS3	ENSG00000005022	SLC25A5	protein_coding	2	2	3	RPS3:CH3176	chrX	119468559	119468598	119468559	119468598	+	1	NA	NA	NA	-0.749	17	HepG2
RPS3	ENSG00000005022	SLC25A5	protein_coding	2	2	3	RPS3:CH3177	chrX	119469949	119469999	119469949	119469999	+	2	NA	NA	NA	-0.749	17	HepG2,K562
RPS3	ENSG00000005893	LAMP2	protein_coding	2	1	2	RPS3:CH3182	chrX	120431384	120431423	120431384	120431423	-	1	NA	NA	NA	-0.372	27	HepG2
RPS3	ENSG00000005893	LAMP2	protein_coding	2	1	2	RPS3:CH3183	chrX	120469168	120469207	120469168	120469207	-	1	NA	NA	NA	-0.372	27	HepG2
RPS3	ENSG00000006007	GDE1	protein_coding	1	1	1	RPS3:CH1026	chr16	19521955	19521994	19521955	19521994	-	1	NA	NA	NA	0.234	17	HepG2
RPS3	ENSG00000006016	CRLF1	protein_coding	6	2	14	RPS3:CH1512	chr19	18593307	18593561	18593307	18593561	-	2	NA	NA	NA	-1.023	11	HepG2
RPS3	ENSG00000006016	CRLF1	protein_coding	6	2	14	RPS3:CH1513	chr19	18594355	18594394	18594355	18594394	-	1	NA	NA	NA	-1.023	11	HepG2
RPS3	ENSG00000006016	CRLF1	protein_coding	6	2	14	RPS3:CH1514	chr19	18596776	18597015	18596776	18597015	-	2	NA	NA	NA	-1.023	11	HepG2
RPS3	ENSG00000006016	CRLF1	protein_coding	6	2	14	RPS3:CH1515	chr19	18598793	18598835	18598793	18598835	-	2	NA	NA	NA	-1.023	11	HepG2
RPS3	ENSG00000006016	CRLF1	protein_coding	6	2	14	RPS3:CH1516	chr19	18599638	18599683	18599638	18599683	-	2	NA	NA	NA	-1.023	11	HepG2
RPS3	ENSG00000006016	CRLF1	protein_coding	6	2	14	RPS3:CH1517	chr19	18606554	18606705	18606554	18606705	-	2	NA	NA	NA	-1.023	11	HepG2
RPS3	ENSG00000006210	CX3CL1	protein_coding	3	2	4	RPS3:CH1079	chr16	57372516	57372555	57372516	57372555	+	1	NA	NA	NA	NA	13	HepG2
RPS3	ENSG00000006210	CX3CL1	protein_coding	3	2	4	RPS3:CH1080	chr16	57382566	57382638	57382566	57382638	+	2	NA	NA	NA	NA	13	HepG2
RPS3	ENSG00000006210	CX3CL1	protein_coding	3	2	4	RPS3:CH1081	chr16	57383064	57383103	57383064	57383103	+	1	NA	NA	NA	NA	13	HepG2
RPS3	ENSG00000008018	PSMB1	protein_coding	3	1	3	RPS3:CH2779	chr6	170535328	170535367	170535328	170535367	-	1	NA	NA	NA	NA	26	K562
RPS3	ENSG00000008018	PSMB1	protein_coding	3	1	3	RPS3:CH2780	chr6	170543664	170543703	170543664	170543703	-	1	NA	NA	NA	NA	26	K562
RPS3	ENSG00000008018	PSMB1	protein_coding	3	1	3	RPS3:CH2781	chr6	170553164	170553203	170553164	170553203	-	1	NA	NA	NA	NA	26	K562
RPS3	ENSG00000008988	RPS20	protein_coding	2	3	5	RPS3:CH2952	chr8	56073839	56073883	56073839	56073883	-	2	NA	NA	NA	-0.812	31	K562
RPS3	ENSG00000008988	RPS20	protein_coding	2	3	5	RPS3:CH2953	chr8	56074406	56074480	56074406	56074480	-	3	NA	NA	NA	-0.812	31	HepG2,K562
RPS3	ENSG00000010256	UQCRC1	protein_coding	1	4	4	RPS3:CH2251	chr3	48601020	48601082	48601020	48601082	-	4	NA	NA	NA	-0.443	24	HepG2,K562
RPS3	ENSG00000010292	NCAPD2	protein_coding	1	1	1	RPS3:CH639	chr12	6510425	6510425	6510425	6510425	+	1	NA	NA	NA	-0.360	14	K562
RPS3	ENSG00000011052	NME1-NME2	protein_coding	2	1	2	RPS3:CH1248	chr17	51166836	51166875	51166836	51166875	+	1	NA	NA	NA	-0.949	20	HepG2
RPS3	ENSG00000011052	NME1-NME2	protein_coding	2	1	2	RPS3:CH1249	chr17	51169942	51169981	51169942	51169981	+	1	NA	NA	NA	-0.949	20	HepG2
RPS3	ENSG00000011304	PTBP1	protein_coding	5	4	9	RPS3:CH1403	chr19	804144	804190	804144	804190	+	2	NA	NA	NA	NA	21	HepG2,K562
