#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
DAP3	ENSG00000001084	GCLC	protein_coding	1	1	1	DAP3:CH12566	chr6	53544505	53544544	53544505	53544544	-	1	NA	NA	NA	NA	22	EC109
DAP3	ENSG00000001497	LAS1L	protein_coding	1	2	2	DAP3:CH15506	chrX	65518133	65518188	65518133	65518188	-	2	NA	NA	NA	NA	22	EC109
DAP3	ENSG00000001629	ANKIB1	protein_coding	1	1	1	DAP3:CH13288	chr7	92246413	92246452	92246413	92246452	+	1	NA	NA	NA	NA	13	EC109
DAP3	ENSG00000001631	KRIT1	protein_coding	1	1	1	DAP3:CH13287	chr7	92241044	92241083	92241044	92241083	-	1	NA	NA	NA	NA	15	EC109
DAP3	ENSG00000002746	HECW1	protein_coding	3	2	3	DAP3:CH13064	chr7	43249299	43249338	43249299	43249338	+	1	NA	NA	NA	NA	13	EC109
DAP3	ENSG00000002746	HECW1	protein_coding	3	2	3	DAP3:CH13065	chr7	43445352	43445391	43445352	43445391	+	1	NA	NA	NA	NA	13	EC109
DAP3	ENSG00000002746	HECW1	protein_coding	3	2	3	DAP3:CH13066	chr7	43456391	43456430	43456391	43456430	+	1	NA	NA	NA	NA	13	EC109
DAP3	ENSG00000002822	MAD1L1	protein_coding	1	2	2	DAP3:CH12883	chr7	2065066	2065106	2065066	2065106	-	2	NA	NA	NA	NA	15	EC109
DAP3	ENSG00000002834	LASP1	protein_coding	5	2	7	DAP3:CH6779	chr17	38870185	38870224	38870185	38870224	+	1	NA	NA	NA	NA	21	EC109
DAP3	ENSG00000002834	LASP1	protein_coding	5	2	7	DAP3:CH6780	chr17	38878110	38878149	38878110	38878149	+	2	NA	NA	NA	NA	21	EC109
DAP3	ENSG00000002834	LASP1	protein_coding	5	2	7	DAP3:CH6781	chr17	38898426	38898465	38898426	38898465	+	1	NA	NA	NA	NA	21	EC109
DAP3	ENSG00000002834	LASP1	protein_coding	5	2	7	DAP3:CH6782	chr17	38915073	38915112	38915073	38915112	+	1	NA	NA	NA	NA	21	EC109
DAP3	ENSG00000002834	LASP1	protein_coding	5	2	7	DAP3:CH6783	chr17	38918688	38918831	38918688	38918831	+	2	NA	NA	NA	NA	21	EC109
