#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HNRNPU	ENSG00000000419	DPM1	protein_coding	4	2	4	HNRNPU:CH21906	chr20	50935169	50935208	50935169	50935208	-	1	-0.180	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000000419	DPM1	protein_coding	4	2	4	HNRNPU:CH21907	chr20	50951346	50951385	50951346	50951385	-	1	-0.180	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000000419	DPM1	protein_coding	4	2	4	HNRNPU:CH21908	chr20	50954519	50954558	50954519	50954558	-	1	-0.180	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000000419	DPM1	protein_coding	4	2	4	HNRNPU:CH21909	chr20	50954934	50954973	50954934	50954973	-	1	-0.180	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000000457	SCYL3	protein_coding	1	1	1	HNRNPU:CH2524	chr1	169867148	169867187	169867148	169867187	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001036	FUCA2	protein_coding	4	1	4	HNRNPU:CH31735	chr6	143495505	143495544	143495505	143495544	-	1	-0.229	NA	NA	NA	16	HeLa
HNRNPU	ENSG00000001036	FUCA2	protein_coding	4	1	4	HNRNPU:CH31736	chr6	143502517	143502556	143502517	143502556	-	1	-0.229	NA	NA	NA	16	HeLa
HNRNPU	ENSG00000001036	FUCA2	protein_coding	4	1	4	HNRNPU:CH31737	chr6	143507233	143507272	143507233	143507272	-	1	-0.229	NA	NA	NA	16	HeLa
HNRNPU	ENSG00000001036	FUCA2	protein_coding	4	1	4	HNRNPU:CH31738	chr6	143508258	143508297	143508258	143508297	-	1	-0.229	NA	NA	NA	16	HeLa
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31003	chr6	53498221	53498260	53498221	53498260	-	1	-0.212	0.800	NA	NA	27	HeLa
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31004	chr6	53504729	53504768	53504729	53504768	-	1	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31005	chr6	53516553	53516596	53516553	53516596	-	2	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31006	chr6	53518685	53518724	53518685	53518724	-	1	-0.212	0.800	NA	NA	27	HeLa
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31007	chr6	53519185	53519224	53519185	53519224	-	1	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31008	chr6	53527087	53527126	53527087	53527126	-	1	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31009	chr6	53527767	53527806	53527767	53527806	-	1	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31010	chr6	53529781	53529820	53529781	53529820	-	1	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31011	chr6	53531425	53531464	53531425	53531464	-	1	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31012	chr6	53531698	53531739	53531698	53531739	-	2	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31013	chr6	53532254	53532297	53532254	53532297	-	2	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001084	GCLC	protein_coding	12	3	16	HNRNPU:CH31014	chr6	53533394	53533436	53533394	53533436	-	2	-0.212	0.800	NA	NA	27	HepG2
HNRNPU	ENSG00000001460	STPG1	protein_coding	1	1	1	HNRNPU:CH445	chr1	24412762	24412801	24412762	24412801	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000001461	NIPAL3	protein_coding	4	2	4	HNRNPU:CH446	chr1	24464288	24464327	24464288	24464327	+	1	NA	-0.350	NA	NA	20	HeLa
HNRNPU	ENSG00000001461	NIPAL3	protein_coding	4	2	4	HNRNPU:CH447	chr1	24470658	24470697	24470658	24470697	+	1	NA	-0.350	NA	NA	20	HeLa
HNRNPU	ENSG00000001461	NIPAL3	protein_coding	4	2	4	HNRNPU:CH448	chr1	24471577	24471616	24471577	24471616	+	1	NA	-0.350	NA	NA	20	HeLa
HNRNPU	ENSG00000001461	NIPAL3	protein_coding	4	2	4	HNRNPU:CH449	chr1	24472478	24472517	24472478	24472517	+	1	NA	-0.350	NA	NA	20	HeLa
HNRNPU	ENSG00000001497	LAS1L	protein_coding	1	1	1	HNRNPU:CH38379	chrX	65516259	65516298	65516259	65516298	-	1	-0.317	-0.460	NA	NA	19	HepG2
HNRNPU	ENSG00000001617	SEMA3F	protein_coding	1	1	2	HNRNPU:CH24021	chr3	50186954	50187056	50186954	50187056	+	1	0.982	NA	NA	NA	14	HeLa
HNRNPU	ENSG00000001626	CFTR	protein_coding	1	1	1	HNRNPU:CH34047	chr7	117589201	117589240	117589201	117589240	+	1	NA	NA	NA	NA	12	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33357	chr7	92301084	92301123	92301084	92301123	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33358	chr7	92302500	92302539	92302500	92302539	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33359	chr7	92321276	92321315	92321276	92321315	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33360	chr7	92322835	92322874	92322835	92322874	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33361	chr7	92327011	92327050	92327011	92327050	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33362	chr7	92354274	92354313	92354274	92354313	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33363	chr7	92372624	92372663	92372624	92372663	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33364	chr7	92399432	92399471	92399432	92399471	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33365	chr7	92400404	92400443	92400404	92400443	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001629	ANKIB1	protein_coding	10	1	10	HNRNPU:CH33366	chr7	92400959	92400998	92400959	92400998	+	1	-0.380	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001630	CYP51A1	protein_coding	4	2	6	HNRNPU:CH33344	chr7	92112355	92112394	92112355	92112394	-	1	-0.465	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000001630	CYP51A1	protein_coding	4	2	6	HNRNPU:CH33345	chr7	92113184	92113363	92113184	92113363	-	1	-0.465	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000001630	CYP51A1	protein_coding	4	2	6	HNRNPU:CH33346	chr7	92113613	92113674	92113613	92113674	-	2	-0.465	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000001630	CYP51A1	protein_coding	4	2	6	HNRNPU:CH33347	chr7	92117150	92117189	92117150	92117189	-	1	-0.465	NA	NA	NA	29	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33350	chr7	92198969	92198969	92198969	92198969	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33351	chr7	92222875	92222914	92222875	92222914	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33352	chr7	92235483	92235522	92235483	92235522	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33353	chr7	92239457	92239496	92239457	92239496	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33354	chr7	92243874	92243913	92243874	92243913	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33355	chr7	92245289	92245328	92245289	92245328	-	1	NA	NA	NA	NA	32	HeLa
HNRNPU	ENSG00000001631	KRIT1	protein_coding	7	3	7	HNRNPU:CH33356	chr7	92245705	92245744	92245705	92245744	-	1	NA	NA	NA	NA	32	K562
HNRNPU	ENSG00000002746	HECW1	protein_coding	2	1	2	HNRNPU:CH32761	chr7	43250205	43250244	43250205	43250244	+	1	NA	NA	NA	NA	12	HeLa
HNRNPU	ENSG00000002746	HECW1	protein_coding	2	1	2	HNRNPU:CH32762	chr7	43262535	43262535	43262535	43262535	+	1	NA	NA	NA	NA	12	HeLa
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14962	chr17	38870555	38870594	38870555	38870594	+	1	0.295	NA	NA	NA	25	K562
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14963	chr17	38871175	38871214	38871175	38871214	+	1	0.295	NA	NA	NA	25	HepG2
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14964	chr17	38872468	38872507	38872468	38872507	+	1	0.295	NA	NA	NA	25	HepG2
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14965	chr17	38874035	38874074	38874035	38874074	+	1	0.295	NA	NA	NA	25	HepG2
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14966	chr17	38875147	38875186	38875147	38875186	+	1	0.295	NA	NA	NA	25	K562
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14967	chr17	38886310	38886349	38886310	38886349	+	1	0.295	NA	NA	NA	25	K562
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14968	chr17	38891276	38891315	38891276	38891315	+	1	0.295	NA	NA	NA	25	K562
HNRNPU	ENSG00000002834	LASP1	protein_coding	8	4	8	HNRNPU:CH14969	chr17	38921085	38921124	38921085	38921124	+	1	0.295	NA	NA	NA	25	HeLa
HNRNPU	ENSG00000003056	M6PR	protein_coding	3	1	3	HNRNPU:CH8100	chr12	8947826	8947826	8947826	8947826	-	1	NA	NA	NA	NA	30	HeLa
HNRNPU	ENSG00000003056	M6PR	protein_coding	3	1	3	HNRNPU:CH8101	chr12	8948793	8948832	8948793	8948832	-	1	NA	NA	NA	NA	30	HeLa
HNRNPU	ENSG00000003056	M6PR	protein_coding	3	1	3	HNRNPU:CH8102	chr12	8949487	8949526	8949487	8949526	-	1	NA	NA	NA	NA	30	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38742	chrX	117897887	117897926	117897887	117897926	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38743	chrX	117898835	117898874	117898835	117898874	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38744	chrX	117899199	117899238	117899199	117899238	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38745	chrX	117962152	117962191	117962152	117962191	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38746	chrX	117978623	117978662	117978623	117978662	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38747	chrX	117991341	117991380	117991341	117991380	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38748	chrX	118000393	118000432	118000393	118000432	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38749	chrX	118012071	118012071	118012071	118012071	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38750	chrX	118049734	118049773	118049734	118049773	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38751	chrX	118055174	118055213	118055174	118055213	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38752	chrX	118060827	118060866	118060827	118060866	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38753	chrX	118061244	118061283	118061244	118061283	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38754	chrX	118064085	118064124	118064085	118064124	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38755	chrX	118065044	118065083	118065044	118065083	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38756	chrX	118078768	118078807	118078768	118078807	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38757	chrX	118087573	118087612	118087573	118087612	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38758	chrX	118087988	118088027	118087988	118088027	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38759	chrX	118092975	118093014	118092975	118093014	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38760	chrX	118100214	118100298	118100214	118100298	-	2	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38761	chrX	118104732	118104771	118104732	118104771	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38762	chrX	118105052	118105091	118105052	118105091	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38763	chrX	118105724	118105763	118105724	118105763	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38764	chrX	118107053	118107092	118107053	118107092	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38765	chrX	118114372	118114414	118114372	118114414	-	2	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38766	chrX	118114961	118115000	118114961	118115000	-	1	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003096	KLHL13	protein_coding	26	2	30	HNRNPU:CH38767	chrX	118115572	118115775	118115572	118115775	-	2	NA	NA	NA	NA	19	HeLa
HNRNPU	ENSG00000003147	ICA1	protein_coding	1	1	1	HNRNPU:CH32287	chr7	8125678	8125717	8125678	8125717	-	1	NA	-0.302	NA	NA	16	K562
