#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
EXOSC10	ENSG00000000003	TSPAN6	protein_coding	3	2	3	EXOSC10:CH14391	chrX	100629962	100629962	100629962	100629962	-	1	NA	NA	NA	NA	12	HEK293T
EXOSC10	ENSG00000000003	TSPAN6	protein_coding	3	2	3	EXOSC10:CH14392	chrX	100633969	100633969	100633969	100633969	-	1	NA	NA	NA	NA	12	HEK293T
EXOSC10	ENSG00000000003	TSPAN6	protein_coding	3	2	3	EXOSC10:CH14393	chrX	100636705	100636705	100636705	100636705	-	1	NA	NA	NA	NA	12	HEK293T
EXOSC10	ENSG00000000460	C1orf112	protein_coding	2	2	2	EXOSC10:CH1230	chr1	169795174	169795174	169795174	169795174	+	1	NA	NA	NA	NA	29	HEK293T
EXOSC10	ENSG00000000460	C1orf112	protein_coding	2	2	2	EXOSC10:CH1231	chr1	169798899	169798899	169798899	169798899	+	1	NA	NA	NA	NA	29	HEK293T
EXOSC10	ENSG00000001036	FUCA2	protein_coding	2	2	2	EXOSC10:CH11906	chr6	143496903	143496903	143496903	143496903	-	1	NA	NA	NA	NA	16	HEK293T
EXOSC10	ENSG00000001036	FUCA2	protein_coding	2	2	2	EXOSC10:CH11907	chr6	143501715	143501715	143501715	143501715	-	1	NA	NA	NA	NA	16	HEK293T
EXOSC10	ENSG00000001629	ANKIB1	protein_coding	4	3	4	EXOSC10:CH12473	chr7	92249352	92249352	92249352	92249352	+	1	NA	NA	NA	NA	20	HEK293T
EXOSC10	ENSG00000001629	ANKIB1	protein_coding	4	3	4	EXOSC10:CH12474	chr7	92296082	92296082	92296082	92296082	+	1	NA	NA	NA	NA	20	HEK293T
EXOSC10	ENSG00000001629	ANKIB1	protein_coding	4	3	4	EXOSC10:CH12475	chr7	92340320	92340320	92340320	92340320	+	1	NA	NA	NA	NA	20	HEK293T
