#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
MSI2	ENSG00000001036	FUCA2	protein_coding	1	1	1	MSI2:CH10979	chr6	143511557	143511596	143511557	143511596	-	1	0.363	NA	NA	NA	19	K562
MSI2	ENSG00000001084	GCLC	protein_coding	1	1	1	MSI2:CH10771	chr6	53497836	53497875	53497836	53497875	-	1	NA	NA	NA	NA	27	NB4
MSI2	ENSG00000001167	NFYA	protein_coding	1	1	1	MSI2:CH10701	chr6	41099651	41099651	41099651	41099651	+	1	0.141	NA	NA	NA	31	NB4
MSI2	ENSG00000001497	LAS1L	protein_coding	1	1	1	MSI2:CH12917	chrX	65518181	65518220	65518181	65518220	-	1	NA	-0.417	NA	NA	11	K562
MSI2	ENSG00000001630	CYP51A1	protein_coding	2	3	3	MSI2:CH11465	chr7	92113520	92113652	92113520	92113652	-	2	NA	NA	NA	NA	24	NB4
MSI2	ENSG00000001630	CYP51A1	protein_coding	2	3	3	MSI2:CH11466	chr7	92134314	92134353	92134314	92134353	-	1	NA	NA	NA	NA	24	K562
MSI2	ENSG00000001631	KRIT1	protein_coding	2	1	2	MSI2:CH11467	chr7	92199461	92199500	92199461	92199500	-	1	0.160	-0.260	NA	NA	32	NB4
MSI2	ENSG00000001631	KRIT1	protein_coding	2	1	2	MSI2:CH11468	chr7	92200114	92200153	92200114	92200153	-	1	0.160	-0.260	NA	NA	32	NB4
MSI2	ENSG00000002330	BAD	protein_coding	1	1	1	MSI2:CH2182	chr11	64270944	64270983	64270944	64270983	-	1	0.423	NA	NA	NA	23	NB4
MSI2	ENSG00000002549	LAP3	protein_coding	1	1	1	MSI2:CH9516	chr4	17607890	17607929	17607890	17607929	+	1	-0.291	-0.418	NA	NA	16	NB4
MSI2	ENSG00000002726	AOC1	protein_coding	1	1	1	MSI2:CH11786	chr7	150861176	150861215	150861176	150861215	+	1	NA	NA	NA	NA	16	NB4
MSI2	ENSG00000002822	MAD1L1	protein_coding	1	1	1	MSI2:CH11095	chr7	2186855	2186894	2186855	2186894	-	1	NA	NA	NA	NA	19	K562
MSI2	ENSG00000002834	LASP1	protein_coding	2	3	4	MSI2:CH5403	chr17	38920757	38920840	38920757	38920840	+	3	0.262	0.390	NA	NA	24	K562,NB4
MSI2	ENSG00000002834	LASP1	protein_coding	2	3	4	MSI2:CH5404	chr17	38921612	38921651	38921612	38921651	+	1	0.262	0.390	NA	NA	24	NB4
MSI2	ENSG00000003056	M6PR	protein_coding	3	2	4	MSI2:CH2667	chr12	8940597	8940636	8940597	8940636	-	1	0.542	NA	NA	NA	27	NB4
MSI2	ENSG00000003056	M6PR	protein_coding	3	2	4	MSI2:CH2668	chr12	8941255	8941374	8941255	8941374	-	2	0.542	NA	NA	NA	27	NB4
MSI2	ENSG00000003056	M6PR	protein_coding	3	2	4	MSI2:CH2669	chr12	8941629	8941668	8941629	8941668	-	1	0.542	NA	NA	NA	27	NB4
MSI2	ENSG00000003400	CASP10	protein_coding	1	1	1	MSI2:CH7745	chr2	201218666	201218705	201218666	201218705	+	1	0.228	NA	NA	NA	16	NB4
MSI2	ENSG00000003989	SLC7A2	protein_coding	3	2	3	MSI2:CH11872	chr8	17567587	17567626	17567587	17567626	+	1	-0.328	NA	NA	NA	18	NB4
MSI2	ENSG00000003989	SLC7A2	protein_coding	3	2	3	MSI2:CH11873	chr8	17568483	17568522	17568483	17568522	+	1	-0.328	NA	NA	NA	18	NB4
MSI2	ENSG00000003989	SLC7A2	protein_coding	3	2	3	MSI2:CH11874	chr8	17569663	17569702	17569663	17569702	+	1	-0.328	NA	NA	NA	18	NB4
MSI2	ENSG00000004142	POLDIP2	protein_coding	1	2	2	MSI2:CH5288	chr17	28347199	28347244	28347199	28347244	-	2	-0.379	NA	NA	NA	16	NB4
MSI2	ENSG00000004399	PLXND1	protein_coding	3	1	3	MSI2:CH9175	chr3	129555745	129555784	129555745	129555784	-	1	NA	-0.701	NA	NA	18	NB4
MSI2	ENSG00000004399	PLXND1	protein_coding	3	1	3	MSI2:CH9176	chr3	129569872	129569911	129569872	129569911	-	1	NA	-0.701	NA	NA	18	NB4
MSI2	ENSG00000004399	PLXND1	protein_coding	3	1	3	MSI2:CH9177	chr3	129584170	129584209	129584170	129584209	-	1	NA	-0.701	NA	NA	18	NB4
MSI2	ENSG00000004455	AK2	protein_coding	5	3	9	MSI2:CH376	chr1	33008148	33008213	33008148	33008213	-	2	-0.189	-0.285	NA	NA	15	NB4
MSI2	ENSG00000004455	AK2	protein_coding	5	3	9	MSI2:CH377	chr1	33009070	33009109	33009070	33009109	-	1	-0.189	-0.285	NA	NA	15	NB4
MSI2	ENSG00000004455	AK2	protein_coding	5	3	9	MSI2:CH378	chr1	33010268	33010324	33010268	33010324	-	3	-0.189	-0.285	NA	NA	15	K562,NB4
MSI2	ENSG00000004455	AK2	protein_coding	5	3	9	MSI2:CH379	chr1	33010549	33010798	33010549	33010798	-	2	-0.189	-0.285	NA	NA	15	K562,NB4
MSI2	ENSG00000004455	AK2	protein_coding	5	3	9	MSI2:CH380	chr1	33012310	33012310	33012310	33012310	-	1	-0.189	-0.285	NA	NA	15	NB4
MSI2	ENSG00000004478	FKBP4	protein_coding	3	3	5	MSI2:CH2606	chr12	2795030	2795069	2795030	2795069	+	1	-0.974	-0.305	NA	NA	17	K562
MSI2	ENSG00000004478	FKBP4	protein_coding	3	3	5	MSI2:CH2607	chr12	2798704	2798743	2798704	2798743	+	1	-0.974	-0.305	NA	NA	17	NB4
MSI2	ENSG00000004478	FKBP4	protein_coding	3	3	5	MSI2:CH2608	chr12	2803505	2803767	2803505	2803767	+	2	-0.974	-0.305	NA	NA	17	NB4
MSI2	ENSG00000004487	KDM1A	protein_coding	2	2	3	MSI2:CH212	chr1	23019618	23019658	23019618	23019658	+	2	-0.714	-0.173	NA	NA	19	K562
MSI2	ENSG00000004487	KDM1A	protein_coding	2	2	3	MSI2:CH213	chr1	23030548	23030587	23030548	23030587	+	1	-0.714	-0.173	NA	NA	19	K562
MSI2	ENSG00000004534	RBM6	protein_coding	2	3	3	MSI2:CH8979	chr3	49963244	49963283	49963244	49963283	+	1	-0.522	-0.253	NA	NA	22	K562
MSI2	ENSG00000004534	RBM6	protein_coding	2	3	3	MSI2:CH8980	chr3	49968133	49968234	49968133	49968234	+	2	-0.522	-0.253	NA	NA	22	NB4
MSI2	ENSG00000004700	RECQL	protein_coding	4	2	5	MSI2:CH2701	chr12	21469289	21469328	21469289	21469328	-	1	NA	NA	NA	NA	28	NB4
MSI2	ENSG00000004700	RECQL	protein_coding	4	2	5	MSI2:CH2702	chr12	21469782	21469821	21469782	21469821	-	1	NA	NA	NA	NA	28	NB4
MSI2	ENSG00000004700	RECQL	protein_coding	4	2	5	MSI2:CH2703	chr12	21470026	21470142	21470026	21470142	-	2	NA	NA	NA	NA	28	NB4
MSI2	ENSG00000004700	RECQL	protein_coding	4	2	5	MSI2:CH2704	chr12	21475530	21475569	21475530	21475569	-	1	NA	NA	NA	NA	28	NB4
MSI2	ENSG00000004779	NDUFAB1	protein_coding	1	1	1	MSI2:CH4622	chr16	23581101	23581140	23581101	23581140	-	1	NA	-0.253	NA	NA	21	NB4
MSI2	ENSG00000004864	SLC25A13	protein_coding	1	2	2	MSI2:CH11482	chr7	96120857	96120899	96120857	96120899	-	2	NA	-0.252	NA	NA	27	NB4
MSI2	ENSG00000004897	CDC27	protein_coding	1	1	1	MSI2:CH5523	chr17	47119435	47119474	47119435	47119474	-	1	NA	NA	NA	NA	28	NB4
MSI2	ENSG00000005007	UPF1	protein_coding	1	1	1	MSI2:CH6467	chr19	18866649	18866688	18866649	18866688	+	1	-0.254	-0.308	NA	NA	24	K562
MSI2	ENSG00000005020	SKAP2	protein_coding	3	2	4	MSI2:CH11222	chr7	26667123	26667162	26667123	26667162	-	1	0.274	0.425	NA	NA	20	NB4
MSI2	ENSG00000005020	SKAP2	protein_coding	3	2	4	MSI2:CH11223	chr7	26667861	26667900	26667861	26667900	-	2	0.274	0.425	NA	NA	20	NB4
MSI2	ENSG00000005020	SKAP2	protein_coding	3	2	4	MSI2:CH11224	chr7	26668411	26668450	26668411	26668450	-	1	0.274	0.425	NA	NA	20	NB4
MSI2	ENSG00000005022	SLC25A5	protein_coding	3	3	4	MSI2:CH13043	chrX	119469957	119469996	119469957	119469996	+	1	-0.311	NA	NA	NA	19	K562
MSI2	ENSG00000005022	SLC25A5	protein_coding	3	3	4	MSI2:CH13044	chrX	119470415	119470454	119470415	119470454	+	1	-0.311	NA	NA	NA	19	NB4
MSI2	ENSG00000005022	SLC25A5	protein_coding	3	3	4	MSI2:CH13045	chrX	119470924	119471018	119470924	119471018	+	2	-0.311	NA	NA	NA	19	K562,NB4
MSI2	ENSG00000005100	DHX33	protein_coding	1	2	2	MSI2:CH5180	chr17	5442095	5442156	5442095	5442156	-	2	-0.387	NA	NA	NA	27	NB4
MSI2	ENSG00000005206	SPPL2B	protein_coding	1	1	1	MSI2:CH6126	chr19	2353368	2353407	2353368	2353407	+	1	0.405	NA	NA	NA	19	K562
MSI2	ENSG00000005249	PRKAR2B	protein_coding	1	1	1	MSI2:CH11578	chr7	107044916	107044955	107044916	107044955	+	1	NA	-0.461	NA	NA	25	K562
MSI2	ENSG00000005339	CREBBP	protein_coding	3	3	3	MSI2:CH4545	chr16	3727814	3727853	3727814	3727853	-	1	-0.300	NA	NA	NA	27	NB4
MSI2	ENSG00000005339	CREBBP	protein_coding	3	3	3	MSI2:CH4546	chr16	3782788	3782788	3782788	3782788	-	1	-0.300	NA	NA	NA	27	NB4
MSI2	ENSG00000005339	CREBBP	protein_coding	3	3	3	MSI2:CH4547	chr16	3880302	3880341	3880302	3880341	-	1	-0.300	NA	NA	NA	27	K562
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5606	chr17	58270071	58270110	58270071	58270110	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5607	chr17	58270390	58270429	58270390	58270429	-	1	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5608	chr17	58270766	58270805	58270766	58270805	-	1	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5609	chr17	58271273	58271273	58271273	58271273	-	1	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5610	chr17	58271703	58271751	58271703	58271751	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5611	chr17	58272784	58272829	58272784	58272829	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5612	chr17	58273546	58273591	58273546	58273591	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5613	chr17	58275205	58275244	58275205	58275244	-	1	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5614	chr17	58275452	58275657	58275452	58275657	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5615	chr17	58277896	58277936	58277896	58277936	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5616	chr17	58279137	58279191	58279137	58279191	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5617	chr17	58279558	58279622	58279558	58279622	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5618	chr17	58280369	58280408	58280369	58280408	-	1	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005381	MPO	protein_coding	14	2	26	MSI2:CH5619	chr17	58280891	58280935	58280891	58280935	-	2	NA	NA	NA	NA	10	NB4
MSI2	ENSG00000005436	GCFC2	protein_coding	1	1	1	MSI2:CH7264	chr2	75702245	75702284	75702245	75702284	-	1	NA	NA	NA	NA	30	NB4
MSI2	ENSG00000005483	KMT2E	protein_coding	6	2	8	MSI2:CH11567	chr7	105062152	105062191	105062152	105062191	+	1	NA	0.184	NA	NA	31	NB4
MSI2	ENSG00000005483	KMT2E	protein_coding	6	2	8	MSI2:CH11568	chr7	105065480	105065519	105065480	105065519	+	1	NA	0.184	NA	NA	31	NB4
MSI2	ENSG00000005483	KMT2E	protein_coding	6	2	8	MSI2:CH11569	chr7	105102069	105102108	105102069	105102108	+	1	NA	0.184	NA	NA	31	NB4
MSI2	ENSG00000005483	KMT2E	protein_coding	6	2	8	MSI2:CH11570	chr7	105106659	105106698	105106659	105106698	+	1	NA	0.184	NA	NA	31	NB4
MSI2	ENSG00000005483	KMT2E	protein_coding	6	2	8	MSI2:CH11571	chr7	105112047	105112086	105112047	105112086	+	1	NA	0.184	NA	NA	31	NB4
MSI2	ENSG00000005483	KMT2E	protein_coding	6	2	8	MSI2:CH11572	chr7	105112500	105112739	105112500	105112739	+	2	NA	0.184	NA	NA	31	NB4
MSI2	ENSG00000005700	IBTK	protein_coding	2	1	3	MSI2:CH10843	chr6	82170299	82170338	82170299	82170338	-	1	0.228	NA	NA	NA	27	NB4
MSI2	ENSG00000005700	IBTK	protein_coding	2	1	3	MSI2:CH10844	chr6	82170600	82170829	82170600	82170829	-	1	0.228	NA	NA	NA	27	NB4
MSI2	ENSG00000005801	ZNF195	protein_coding	1	1	1	MSI2:CH1858	chr11	3354838	3354877	3354838	3354877	-	1	NA	NA	NA	NA	27	NB4
MSI2	ENSG00000005810	MYCBP2	protein_coding	3	1	3	MSI2:CH3654	chr13	77136885	77136924	77136885	77136924	-	1	NA	-0.364	NA	NA	27	NB4
MSI2	ENSG00000005810	MYCBP2	protein_coding	3	1	3	MSI2:CH3655	chr13	77257666	77257705	77257666	77257705	-	1	NA	-0.364	NA	NA	27	NB4
MSI2	ENSG00000005810	MYCBP2	protein_coding	3	1	3	MSI2:CH3656	chr13	77270436	77270475	77270436	77270475	-	1	NA	-0.364	NA	NA	27	NB4
MSI2	ENSG00000005812	FBXL3	protein_coding	1	1	1	MSI2:CH3653	chr13	77006218	77006218	77006218	77006218	-	1	NA	0.576	NA	NA	29	NB4
MSI2	ENSG00000005889	ZFX	protein_coding	3	1	3	MSI2:CH12805	chrX	24211453	24211492	24211453	24211492	+	1	-0.796	0.349	NA	NA	32	NB4
MSI2	ENSG00000005889	ZFX	protein_coding	3	1	3	MSI2:CH12806	chrX	24212042	24212042	24212042	24212042	+	1	-0.796	0.349	NA	NA	32	NB4
MSI2	ENSG00000005889	ZFX	protein_coding	3	1	3	MSI2:CH12807	chrX	24213224	24213263	24213224	24213263	+	1	-0.796	0.349	NA	NA	32	NB4
MSI2	ENSG00000005893	LAMP2	protein_coding	5	2	11	MSI2:CH13065	chrX	120436522	120436569	120436522	120436569	-	2	NA	0.211	NA	NA	19	NB4
MSI2	ENSG00000005893	LAMP2	protein_coding	5	2	11	MSI2:CH13066	chrX	120436990	120436990	120436990	120436990	-	1	NA	0.211	NA	NA	19	NB4
MSI2	ENSG00000005893	LAMP2	protein_coding	5	2	11	MSI2:CH13067	chrX	120437392	120437699	120437392	120437699	-	1	NA	0.211	NA	NA	19	NB4
MSI2	ENSG00000005893	LAMP2	protein_coding	5	2	11	MSI2:CH13068	chrX	120438171	120438210	120438171	120438210	-	1	NA	0.211	NA	NA	19	NB4
MSI2	ENSG00000005893	LAMP2	protein_coding	5	2	11	MSI2:CH13069	chrX	120438583	120438999	120438583	120438999	-	2	NA	0.211	NA	NA	19	NB4
MSI2	ENSG00000006125	AP2B1	protein_coding	6	3	10	MSI2:CH5384	chr17	35587351	35587390	35587351	35587390	+	1	-0.313	-0.176	NA	NA	31	K562
MSI2	ENSG00000006125	AP2B1	protein_coding	6	3	10	MSI2:CH5385	chr17	35723737	35723891	35723737	35723891	+	2	-0.313	-0.176	NA	NA	31	NB4
MSI2	ENSG00000006125	AP2B1	protein_coding	6	3	10	MSI2:CH5386	chr17	35724421	35724469	35724421	35724469	+	1	-0.313	-0.176	NA	NA	31	NB4
MSI2	ENSG00000006125	AP2B1	protein_coding	6	3	10	MSI2:CH5387	chr17	35724678	35724805	35724678	35724805	+	2	-0.313	-0.176	NA	NA	31	K562,NB4
MSI2	ENSG00000006125	AP2B1	protein_coding	6	3	10	MSI2:CH5388	chr17	35725307	35725346	35725307	35725346	+	1	-0.313	-0.176	NA	NA	31	NB4
MSI2	ENSG00000006125	AP2B1	protein_coding	6	3	10	MSI2:CH5389	chr17	35725639	35725731	35725639	35725731	+	2	-0.313	-0.176	NA	NA	31	NB4
MSI2	ENSG00000006451	RALA	protein_coding	3	1	3	MSI2:CH11275	chr7	39696747	39696786	39696747	39696786	+	1	0.238	NA	NA	NA	20	NB4
MSI2	ENSG00000006451	RALA	protein_coding	3	1	3	MSI2:CH11276	chr7	39706779	39706818	39706779	39706818	+	1	0.238	NA	NA	NA	20	NB4
MSI2	ENSG00000006451	RALA	protein_coding	3	1	3	MSI2:CH11277	chr7	39707568	39707607	39707568	39707607	+	1	0.238	NA	NA	NA	20	NB4
MSI2	ENSG00000006625	GGCT	protein_coding	2	2	3	MSI2:CH11242	chr7	30496744	30496783	30496744	30496783	-	2	-0.389	NA	NA	NA	19	NB4
MSI2	ENSG00000006625	GGCT	protein_coding	2	2	3	MSI2:CH11243	chr7	30500554	30500593	30500554	30500593	-	1	-0.389	NA	NA	NA	19	NB4
MSI2	ENSG00000006652	IFRD1	protein_coding	1	1	1	MSI2:CH11590	chr7	112475560	112475599	112475560	112475599	+	1	0.318	-0.240	NA	NA	17	NB4
MSI2	ENSG00000006695	COX10	protein_coding	1	2	2	MSI2:CH5221	chr17	14207739	14207943	14207739	14207943	+	2	-0.591	NA	NA	NA	20	NB4
MSI2	ENSG00000006715	VPS41	protein_coding	2	2	2	MSI2:CH11272	chr7	38723152	38723152	38723152	38723152	-	1	NA	NA	NA	NA	30	NB4
MSI2	ENSG00000006715	VPS41	protein_coding	2	2	2	MSI2:CH11273	chr7	38725919	38725958	38725919	38725958	-	1	NA	NA	NA	NA	30	NB4
MSI2	ENSG00000006831	ADIPOR2	protein_coding	3	2	5	MSI2:CH2603	chr12	1786309	1786348	1786309	1786348	+	1	NA	0.183	NA	NA	29	NB4
