#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59481	chrX	100629043	100629043	100629043	100629043	-	1	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59482	chrX	100629738	100629777	100629738	100629777	-	2	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59483	chrX	100630776	100630854	100630776	100630854	-	2	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59484	chrX	100632543	100632543	100632543	100632543	-	1	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59485	chrX	100633426	100633456	100633426	100633456	-	1	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59486	chrX	100633967	100633982	100633967	100633982	-	1	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59487	chrX	100635226	100635245	100635226	100635245	-	1	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59488	chrX	100635606	100635651	100635606	100635651	-	2	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000003	TSPAN6	protein_coding	9	2	27	HDLBP:CH59489	chrX	100636589	100636744	100636589	100636744	-	2	NA	NA	NA	NA	15	HEK293T
HDLBP	ENSG00000000419	DPM1	protein_coding	2	2	4	HDLBP:CH36182	chr20	50942049	50942111	50942049	50942111	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000000419	DPM1	protein_coding	2	2	4	HDLBP:CH36183	chr20	50945874	50945874	50945874	50945874	-	1	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000000460	C1orf112	protein_coding	5	2	8	HDLBP:CH4805	chr1	169763981	169764020	169763981	169764020	+	1	NA	NA	NA	NA	23	HEK293T
HDLBP	ENSG00000000460	C1orf112	protein_coding	5	2	8	HDLBP:CH4806	chr1	169803253	169803292	169803253	169803292	+	1	NA	NA	NA	NA	23	HEK293T
HDLBP	ENSG00000000460	C1orf112	protein_coding	5	2	8	HDLBP:CH4807	chr1	169807845	169807884	169807845	169807884	+	2	NA	NA	NA	NA	23	HEK293T
HDLBP	ENSG00000000460	C1orf112	protein_coding	5	2	8	HDLBP:CH4808	chr1	169829412	169829432	169829412	169829432	+	2	NA	NA	NA	NA	23	HEK293T
HDLBP	ENSG00000000460	C1orf112	protein_coding	5	2	8	HDLBP:CH4809	chr1	169832421	169832460	169832421	169832460	+	2	NA	NA	NA	NA	23	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49948	chr6	143495546	143495832	143495546	143495832	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49949	chr6	143497402	143497457	143497402	143497457	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49950	chr6	143501955	143502040	143501955	143502040	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49951	chr6	143502406	143502559	143502406	143502559	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49952	chr6	143503991	143504227	143503991	143504227	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49953	chr6	143507221	143507393	143507221	143507393	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001036	FUCA2	protein_coding	7	2	49	HDLBP:CH49954	chr6	143511438	143511554	143511438	143511554	-	2	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001084	GCLC	protein_coding	3	2	3	HDLBP:CH48667	chr6	53500100	53500139	53500100	53500139	-	1	NA	NA	NA	NA	18	HEK293T
HDLBP	ENSG00000001084	GCLC	protein_coding	3	2	3	HDLBP:CH48669	chr6	53505417	53505417	53505417	53505417	-	1	NA	NA	NA	NA	18	HEK293T
HDLBP	ENSG00000001084	GCLC	protein_coding	3	2	3	HDLBP:CH48670	chr6	53520802	53520802	53520802	53520802	-	1	NA	NA	NA	NA	18	HEK293T
HDLBP	ENSG00000001460	STPG1	protein_coding	1	1	1	HDLBP:CH1026	chr1	24391639	24391639	24391639	24391639	-	1	NA	NA	NA	NA	14	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1027	chr1	24419536	24419575	24419536	24419575	+	1	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1028	chr1	24440179	24440218	24440179	24440218	+	2	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1029	chr1	24442159	24442211	24442159	24442211	+	2	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1030	chr1	24449485	24449621	24449485	24449621	+	2	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1031	chr1	24456204	24456265	24456204	24456265	+	2	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1033	chr1	24458950	24458952	24458950	24458952	+	2	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1034	chr1	24460479	24460518	24460479	24460518	+	1	NA	NA	NA	NA	22	HEK293T
HDLBP	ENSG00000001461	NIPAL3	protein_coding	10	2	31	HDLBP:CH1035	chr1	24464058	24464089	24464058	24464089	+	2	NA	NA	NA	NA	22	HEK293T
