#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
NUDT21	ENSG00000000003	TSPAN6	protein_coding	1	1	1	NUDT21:CH65920	chrX	100636708	100636708	100636708	100636708	-	1	NA	NA	NA	NA	23	HEK293
NUDT21	ENSG00000000419	DPM1	protein_coding	5	3	5	NUDT21:CH40986	chr20	50945874	50945913	50945874	50945913	-	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000419	DPM1	protein_coding	5	3	5	NUDT21:CH40987	chr20	50951313	50951313	50951313	50951313	-	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000419	DPM1	protein_coding	5	3	5	NUDT21:CH40988	chr20	50953470	50953470	50953470	50953470	-	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000419	DPM1	protein_coding	5	3	5	NUDT21:CH40989	chr20	50955460	50955499	50955460	50955499	-	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000419	DPM1	protein_coding	5	3	5	NUDT21:CH40990	chr20	50958388	50958427	50958388	50958427	-	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000460	C1orf112	protein_coding	6	3	7	NUDT21:CH5215	chr1	169806026	169806065	169806026	169806065	+	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000460	C1orf112	protein_coding	6	3	7	NUDT21:CH5216	chr1	169828580	169828580	169828580	169828580	+	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000460	C1orf112	protein_coding	6	3	7	NUDT21:CH5217	chr1	169832808	169832847	169832808	169832847	+	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000460	C1orf112	protein_coding	6	3	7	NUDT21:CH5218	chr1	169834936	169834975	169834936	169834975	+	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000460	C1orf112	protein_coding	6	3	7	NUDT21:CH5219	chr1	169849518	169849557	169849518	169849557	+	1	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000000460	C1orf112	protein_coding	6	3	7	NUDT21:CH5220	chr1	169852835	169853034	169852835	169853034	+	2	NA	NA	NA	NA	31	HEK293
NUDT21	ENSG00000001036	FUCA2	protein_coding	3	3	4	NUDT21:CH56526	chr6	143495302	143495302	143495302	143495302	-	1	NA	NA	NA	NA	13	HEK293
NUDT21	ENSG00000001036	FUCA2	protein_coding	3	3	4	NUDT21:CH56527	chr6	143495594	143495759	143495594	143495759	-	1	NA	NA	NA	NA	13	HEK293
NUDT21	ENSG00000001036	FUCA2	protein_coding	3	3	4	NUDT21:CH56528	chr6	143510044	143510083	143510044	143510083	-	1	NA	NA	NA	NA	13	HEK293
NUDT21	ENSG00000001084	GCLC	protein_coding	2	1	2	NUDT21:CH54962	chr6	53508672	53508711	53508672	53508711	-	1	NA	NA	NA	NA	30	HEK293
NUDT21	ENSG00000001084	GCLC	protein_coding	2	1	2	NUDT21:CH54963	chr6	53515457	53515496	53515457	53515496	-	1	NA	NA	NA	NA	30	HEK293
NUDT21	ENSG00000001167	NFYA	protein_coding	2	1	3	NUDT21:CH54615	chr6	41097407	41097666	41097407	41097666	+	1	NA	NA	NA	NA	29	HEK293
NUDT21	ENSG00000001167	NFYA	protein_coding	2	1	3	NUDT21:CH54616	chr6	41098524	41098563	41098524	41098563	+	1	NA	NA	NA	NA	29	HEK293
NUDT21	ENSG00000001460	STPG1	protein_coding	2	2	2	NUDT21:CH1257	chr1	24363982	24364021	24363982	24364021	-	1	NA	NA	NA	NA	17	HEK293
NUDT21	ENSG00000001460	STPG1	protein_coding	2	2	2	NUDT21:CH1258	chr1	24392766	24392766	24392766	24392766	-	1	NA	NA	NA	NA	17	HEK293
NUDT21	ENSG00000001461	NIPAL3	protein_coding	3	2	4	NUDT21:CH1259	chr1	24440497	24440536	24440497	24440536	+	1	NA	NA	NA	NA	21	HEK293
NUDT21	ENSG00000001461	NIPAL3	protein_coding	3	2	4	NUDT21:CH1260	chr1	24448326	24448365	24448326	24448365	+	1	NA	NA	NA	NA	21	HEK293
NUDT21	ENSG00000001461	NIPAL3	protein_coding	3	2	4	NUDT21:CH1261	chr1	24469207	24469446	24469207	24469446	+	2	NA	NA	NA	NA	21	HEK293
NUDT21	ENSG00000001497	LAS1L	protein_coding	6	4	8	NUDT21:CH65366	chrX	65510813	65510852	65510813	65510852	-	1	NA	NA	NA	NA	17	HEK293
NUDT21	ENSG00000001497	LAS1L	protein_coding	6	4	8	NUDT21:CH65367	chrX	65512717	65512756	65512717	65512756	-	1	NA	NA	NA	NA	17	HEK293
