RBP,mRNA_ID_with_RBP,geneName,geneType,clusterNum,totalClipExpNum,totalClipSiteNum,clusterID,chromosome,narrowStart,narrowEnd,broadStart,broadEnd,strand,clipExpNum,HepG2(shRNA),K562(shRNA),HepG2(CRISPR),K562(CRISPR),pancancerNum,cellline/tissue
A1CF,ENSG00000072501,SMC1A,protein_coding,1,1,1,A1CF:CH100,chrX,53378679,53378718,53378679,53378718.0,-,1.0,,,,,9.0,HEK293T
A1CF,ENSG00000078618,NRDC,protein_coding,1,1,1,A1CF:CH3,chr1,51815613,51815652,51815613,51815652.0,-,1.0,,,,,7.0,HEK293T
A1CF,ENSG00000101901,ALG13,protein_coding,1,1,1,A1CF:CH117,chrX,111688011,111688050,111688011,111688050.0,+,1.0,,,,,18.0,HEK293T
A1CF,ENSG00000109929,SC5D,protein_coding,1,1,1,A1CF:CH40,chr11,121308121,121308160,121308121,121308160.0,+,1.0,,,,,15.0,HEK293T
A1CF,ENSG00000111605,CPSF6,protein_coding,1,2,2,A1CF:CH46,chr12,69270363,69270408,69270363,69270408.0,+,2.0,,,,,16.0,HEK293T
A1CF,ENSG00000112306,RPS12,protein_coding,1,1,1,A1CF:CH74,chr6,132815305,132815344,132815305,132815344.0,+,1.0,,,,,12.0,HEK293T
A1CF,ENSG00000116750,UCHL5,protein_coding,1,1,1,A1CF:CH14,chr1,193014448,193014487,193014448,193014487.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000117500,TMED5,protein_coding,1,1,1,A1CF:CH9,chr1,93153599,93153638,93153599,93153638.0,-,1.0,,,,,15.0,HEK293T
A1CF,ENSG00000122566,HNRNPA2B1,protein_coding,2,1,2,A1CF:CH75,chr7,26191898,26191937,26191898,26191937.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000122566,HNRNPA2B1,protein_coding,2,1,2,A1CF:CH76,chr7,26198235,26198274,26198235,26198274.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000130741,EIF2S3,protein_coding,2,1,2,A1CF:CH98,chrX,24073887,24073926,24073887,24073926.0,+,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000130741,EIF2S3,protein_coding,2,1,2,A1CF:CH99,chrX,24075673,24075712,24075673,24075712.0,+,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000131374,TBC1D5,protein_coding,1,1,1,A1CF:CH63,chr3,17402049,17402088,17402049,17402088.0,-,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000132485,ZRANB2,protein_coding,1,1,1,A1CF:CH8,chr1,71069767,71069806,71069767,71069806.0,-,1.0,,,,,17.0,HEK293T
A1CF,ENSG00000133124,IRS4,protein_coding,1,1,1,A1CF:CH116,chrX,108732201,108732240,108732201,108732240.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000133316,WDR74,protein_coding,1,2,2,A1CF:CH28,chr11,62841677,62841716,62841677,62841716.0,-,2.0,,,,,9.0,HEK293T
A1CF,ENSG00000134644,PUM1,protein_coding,1,1,1,A1CF:CH2,chr1,30949127,30949166,30949127,30949166.0,-,1.0,,,,,16.0,HEK293T
A1CF,ENSG00000134758,RNF138,protein_coding,1,1,1,A1CF:CH58,chr18,32129539,32129578,32129539,32129578.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000135486,HNRNPA1,protein_coding,1,1,1,A1CF:CH42,chr12,54285659,54285698,54285659,54285698.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000135679,MDM2,protein_coding,3,2,4,A1CF:CH43,chr12,68841704,68841743,68841704,68841743.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000135679,MDM2,protein_coding,3,2,4,A1CF:CH44,chr12,68842879,68842921,68842879,68842921.0,+,2.0,,,,,13.0,HEK293T
A1CF,ENSG00000135679,MDM2,protein_coding,3,2,4,A1CF:CH45,chr12,68843439,68843478,68843439,68843478.0,+,1.0,,,,,13.0,HEK293T
A1CF,ENSG00000136450,SRSF1,protein_coding,3,2,4,A1CF:CH55,chr17,58002289,58002328,58002289,58002328.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000136450,SRSF1,protein_coding,3,2,4,A1CF:CH56,chr17,58003598,58003641,58003598,58003641.0,-,2.0,,,,,14.0,HEK293T
A1CF,ENSG00000136450,SRSF1,protein_coding,3,2,4,A1CF:CH57,chr17,58004257,58004296,58004257,58004296.0,-,1.0,,,,,14.0,HEK293T
A1CF,ENSG00000138071,ACTR2,protein_coding,1,1,1,A1CF:CH60,chr2,65269112,65269151,65269112,65269151.0,+,1.0,,,,,11.0,HEK293T
A1CF,ENSG00000138395,CDK15,protein_coding,1,1,1,A1CF:CH61,chr2,201808693,201808732,201808693,201808732.0,+,1.0,,,,,10.0,HEK293T
