#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SDAD1	ENSG00000006016	CRLF1	protein_coding	1	1	1	SDAD1:CH541	chr19	18606640	18606679	18606640	18606679	-	1	NA	NA	NA	NA	10	HepG2
SDAD1	ENSG00000008838	MED24	protein_coding	1	1	1	SDAD1:CH417	chr17	40027561	40027600	40027561	40027600	-	1	NA	NA	NA	NA	24	HepG2
SDAD1	ENSG00000008988	RPS20	protein_coding	1	2	2	SDAD1:CH1129	chr8	56073839	56073878	56073839	56073878	-	2	NA	NA	NA	-0.410	28	HepG2
SDAD1	ENSG00000009950	MLXIPL	protein_coding	4	1	4	SDAD1:CH1093	chr7	73594330	73594369	73594330	73594369	-	1	NA	NA	NA	NA	14	HepG2
SDAD1	ENSG00000009950	MLXIPL	protein_coding	4	1	4	SDAD1:CH1094	chr7	73596182	73596221	73596182	73596221	-	1	NA	NA	NA	NA	14	HepG2
SDAD1	ENSG00000009950	MLXIPL	protein_coding	4	1	4	SDAD1:CH1095	chr7	73605999	73606038	73605999	73606038	-	1	NA	NA	NA	NA	14	HepG2
SDAD1	ENSG00000009950	MLXIPL	protein_coding	4	1	4	SDAD1:CH1096	chr7	73606999	73607038	73606999	73607038	-	1	NA	NA	NA	NA	14	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH108	chr10	99797215	99797255	99797215	99797255	+	2	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH109	chr10	99800480	99800519	99800480	99800519	+	1	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH110	chr10	99804067	99804106	99804067	99804106	+	1	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH111	chr10	99810159	99810198	99810159	99810198	+	1	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH112	chr10	99817212	99817354	99817212	99817354	+	2	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH113	chr10	99818858	99818916	99818858	99818916	+	2	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH114	chr10	99831691	99831730	99831691	99831730	+	1	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000023839	ABCC2	protein_coding	8	2	11	SDAD1:CH115	chr10	99834461	99834500	99834461	99834500	+	1	NA	NA	NA	NA	18	HepG2
SDAD1	ENSG00000026297	RNASET2	protein_coding	1	2	2	SDAD1:CH1072	chr6	166956202	166956332	166956202	166956332	-	2	NA	NA	-0.346	-0.819	26	HepG2
SDAD1	ENSG00000044446	PHKA2	protein_coding	1	1	1	SDAD1:CH1201	chrX	18924390	18924429	18924390	18924429	-	1	NA	NA	NA	NA	15	HepG2
SDAD1	ENSG00000044574	HSPA5	protein_coding	2	3	5	SDAD1:CH1167	chr9	125236604	125236650	125236604	125236650	-	3	NA	NA	-0.338	-0.604	28	HepG2,K562
SDAD1	ENSG00000044574	HSPA5	protein_coding	2	3	5	SDAD1:CH1168	chr9	125241126	125241253	125241126	125241253	-	2	NA	NA	-0.338	-0.604	28	HepG2
