#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
NUDT16L1	ENSG00000000419	DPM1	protein_coding	3	2	3	NUDT16L1:CH12048	chr20	50948753	50948753	50948753	50948753	-	1	NA	NA	NA	NA	16	HeLa
NUDT16L1	ENSG00000000419	DPM1	protein_coding	3	2	3	NUDT16L1:CH12049	chr20	50953009	50953009	50953009	50953009	-	1	NA	NA	NA	NA	16	HeLa
NUDT16L1	ENSG00000000419	DPM1	protein_coding	3	2	3	NUDT16L1:CH12050	chr20	50953651	50953651	50953651	50953651	-	1	NA	NA	NA	NA	16	HeLa
NUDT16L1	ENSG00000000457	SCYL3	protein_coding	2	2	2	NUDT16L1:CH2163	chr1	169859366	169859366	169859366	169859366	-	1	NA	NA	NA	NA	16	HeLa
NUDT16L1	ENSG00000000457	SCYL3	protein_coding	2	2	2	NUDT16L1:CH2164	chr1	169892751	169892751	169892751	169892751	-	1	NA	NA	NA	NA	16	HeLa
NUDT16L1	ENSG00000000460	C1orf112	protein_coding	2	2	2	NUDT16L1:CH2161	chr1	169804105	169804105	169804105	169804105	+	1	NA	NA	NA	NA	19	HeLa
NUDT16L1	ENSG00000000460	C1orf112	protein_coding	2	2	2	NUDT16L1:CH2162	chr1	169824979	169824979	169824979	169824979	+	1	NA	NA	NA	NA	19	HeLa
NUDT16L1	ENSG00000000971	CFH	protein_coding	1	1	1	NUDT16L1:CH2339	chr1	196742628	196742628	196742628	196742628	+	1	NA	NA	NA	NA	22	HeLa
NUDT16L1	ENSG00000001036	FUCA2	protein_coding	2	1	2	NUDT16L1:CH17664	chr6	143495558	143495558	143495558	143495558	-	1	NA	NA	NA	NA	15	HeLa
NUDT16L1	ENSG00000001036	FUCA2	protein_coding	2	1	2	NUDT16L1:CH17665	chr6	143504775	143504775	143504775	143504775	-	1	NA	NA	NA	NA	15	HeLa
NUDT16L1	ENSG00000001084	GCLC	protein_coding	1	1	1	NUDT16L1:CH17132	chr6	53513994	53513994	53513994	53513994	-	1	NA	NA	NA	NA	17	HeLa
NUDT16L1	ENSG00000001497	LAS1L	protein_coding	3	1	3	NUDT16L1:CH21149	chrX	65497772	65497772	65497772	65497772	-	1	NA	NA	NA	NA	22	HeLa
NUDT16L1	ENSG00000001497	LAS1L	protein_coding	3	1	3	NUDT16L1:CH21150	chrX	65505730	65505730	65505730	65505730	-	1	NA	NA	NA	NA	22	HeLa
NUDT16L1	ENSG00000001497	LAS1L	protein_coding	3	1	3	NUDT16L1:CH21151	chrX	65521516	65521516	65521516	65521516	-	1	NA	NA	NA	NA	22	HeLa
NUDT16L1	ENSG00000001617	SEMA3F	protein_coding	1	1	2	NUDT16L1:CH13144	chr3	50179506	50179558	50179506	50179558	+	1	NA	NA	NA	NA	17	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18384	chr7	92254812	92254812	92254812	92254812	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18385	chr7	92285659	92285659	92285659	92285659	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18386	chr7	92333030	92333030	92333030	92333030	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18387	chr7	92339689	92339689	92339689	92339689	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18388	chr7	92358712	92358712	92358712	92358712	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18389	chr7	92360001	92360001	92360001	92360001	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001629	ANKIB1	protein_coding	7	3	8	NUDT16L1:CH18390	chr7	92399257	92399317	92399257	92399317	+	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000001630	CYP51A1	protein_coding	1	1	1	NUDT16L1:CH18382	chr7	92121642	92121642	92121642	92121642	-	1	NA	NA	NA	NA	16	HeLa
NUDT16L1	ENSG00000001631	KRIT1	protein_coding	1	1	1	NUDT16L1:CH18383	chr7	92240125	92240125	92240125	92240125	-	1	NA	NA	NA	NA	18	HeLa
NUDT16L1	ENSG00000002586	CD99	protein_coding	2	1	2	NUDT16L1:CH20845	chrX	2720306	2720306	2720306	2720306	+	1	NA	NA	NA	NA	13	HeLa
NUDT16L1	ENSG00000002586	CD99	protein_coding	2	1	2	NUDT16L1:CH21567	chrY	2720306	2720306	2720306	2720306	+	1	NA	NA	NA	NA	13	HeLa
NUDT16L1	ENSG00000002822	MAD1L1	protein_coding	2	2	2	NUDT16L1:CH17888	chr7	2070479	2070479	2070479	2070479	-	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000002822	MAD1L1	protein_coding	2	2	2	NUDT16L1:CH17889	chr7	2180551	2180551	2180551	2180551	-	1	NA	NA	NA	NA	25	HeLa
NUDT16L1	ENSG00000002834	LASP1	protein_coding	1	1	1	NUDT16L1:CH8758	chr17	38921042	38921042	38921042	38921042	+	1	NA	NA	NA	NA	15	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21364	chrX	117914345	117914345	117914345	117914345	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21365	chrX	117934752	117934752	117934752	117934752	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21366	chrX	117964391	117964391	117964391	117964391	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21367	chrX	117971283	117971283	117971283	117971283	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21368	chrX	118011810	118011810	118011810	118011810	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21369	chrX	118048928	118048993	118048928	118048993	-	2	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21370	chrX	118058579	118058579	118058579	118058579	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21371	chrX	118064314	118064314	118064314	118064314	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21372	chrX	118078027	118078027	118078027	118078027	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21373	chrX	118106749	118106749	118106749	118106749	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003096	KLHL13	protein_coding	11	2	12	NUDT16L1:CH21374	chrX	118109734	118109734	118109734	118109734	-	1	NA	NA	NA	NA	11	HeLa
NUDT16L1	ENSG00000003393	ALS2	protein_coding	1	1	1	NUDT16L1:CH11382	chr2	201779273	201779273	201779273	201779273	-	1	NA	NA	NA	NA	23	HeLa
NUDT16L1	ENSG00000003400	CASP10	protein_coding	1	1	1	NUDT16L1:CH11377	chr2	201200820	201200820	201200820	201200820	+	1	NA	NA	NA	NA	20	HeLa
NUDT16L1	ENSG00000003402	CFLAR	protein_coding	2	1	2	NUDT16L1:CH11375	chr2	201128063	201128063	201128063	201128063	+	1	NA	NA	NA	NA	22	HeLa
NUDT16L1	ENSG00000003402	CFLAR	protein_coding	2	1	2	NUDT16L1:CH11376	chr2	201128406	201128406	201128406	201128406	+	1	NA	NA	NA	NA	22	HeLa
NUDT16L1	ENSG00000003436	TFPI	protein_coding	6	2	6	NUDT16L1:CH11283	chr2	187514858	187514858	187514858	187514858	-	1	NA	NA	NA	NA	19	HeLa
NUDT16L1	ENSG00000003436	TFPI	protein_coding	6	2	6	NUDT16L1:CH11284	chr2	187524616	187524616	187524616	187524616	-	1	NA	NA	NA	NA	19	HeLa
