#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CSTF2	ENSG00000000003	TSPAN6	protein_coding	2	1	2	CSTF2:CH103429	chrX	100629186	100629225	100629186	100629225	-	1	0.376	NA	NA	NA	28	HEK293
CSTF2	ENSG00000000003	TSPAN6	protein_coding	2	1	2	CSTF2:CH103430	chrX	100629763	100629763	100629763	100629763	-	1	0.376	NA	NA	NA	28	HEK293
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55778	chr20	50940380	50940419	50940380	50940419	-	1	NA	NA	NA	NA	30	HEK293
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55779	chr20	50944214	50944253	50944214	50944253	-	1	NA	NA	NA	NA	30	HEK293
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55780	chr20	50951049	50951215	50951049	50951215	-	1	NA	NA	NA	NA	30	HEK293
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55781	chr20	50952757	50952796	50952757	50952796	-	1	NA	NA	NA	NA	30	HEK293
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55782	chr20	50954813	50954857	50954813	50954857	-	2	NA	NA	NA	NA	30	HEK293,HeLa
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55783	chr20	50957536	50957575	50957536	50957575	-	1	NA	NA	NA	NA	30	HEK293
CSTF2	ENSG00000000419	DPM1	protein_coding	7	2	9	CSTF2:CH55784	chr20	50958114	50958153	50958114	50958153	-	1	NA	NA	NA	NA	30	HEK293
CSTF2	ENSG00000000457	SCYL3	protein_coding	1	3	3	CSTF2:CH6572	chr1	169858947	169858994	169858947	169858994	-	3	NA	NA	NA	NA	20	HeLa
CSTF2	ENSG00000000460	C1orf112	protein_coding	8	4	13	CSTF2:CH6563	chr1	169795365	169795365	169795365	169795365	+	1	NA	NA	NA	NA	32	HEK293
CSTF2	ENSG00000000460	C1orf112	protein_coding	8	4	13	CSTF2:CH6564	chr1	169797033	169797079	169797033	169797079	+	2	NA	NA	NA	NA	32	HeLa
