#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RANGAP1	ENSG00000004534	RBM6	protein_coding	1	1	1	RANGAP1:CH490	chr3	49967870	49967909	49967870	49967909	+	1	NA	NA	NA	NA	17	HEK293T
RANGAP1	ENSG00000005206	SPPL2B	protein_coding	1	1	1	RANGAP1:CH337	chr19	2334801	2334840	2334801	2334840	+	1	NA	NA	NA	NA	20	HEK293T
RANGAP1	ENSG00000005486	RHBDD2	protein_coding	1	1	1	RANGAP1:CH593	chr7	75879045	75879084	75879045	75879084	+	1	NA	NA	NA	NA	22	HEK293T
RANGAP1	ENSG00000008300	CELSR3	protein_coding	1	1	1	RANGAP1:CH488	chr3	48660398	48660437	48660398	48660437	-	1	NA	NA	NA	NA	20	HEK293T
RANGAP1	ENSG00000008838	MED24	protein_coding	1	1	1	RANGAP1:CH285	chr17	40019479	40019518	40019479	40019518	-	1	NA	NA	NA	NA	20	HEK293T
RANGAP1	ENSG00000008988	RPS20	protein_coding	2	4	5	RANGAP1:CH608	chr8	56073838	56073880	56073838	56073880	-	2	NA	NA	NA	NA	17	HEK293T
RANGAP1	ENSG00000008988	RPS20	protein_coding	2	4	5	RANGAP1:CH609	chr8	56074439	56074480	56074439	56074480	-	3	NA	NA	NA	NA	17	HEK293T
RANGAP1	ENSG00000010322	NISCH	protein_coding	1	1	1	RANGAP1:CH491	chr3	52482192	52482231	52482192	52482231	+	1	NA	NA	NA	NA	19	HEK293T
RANGAP1	ENSG00000011304	PTBP1	protein_coding	1	1	1	RANGAP1:CH322	chr19	811358	811397	811358	811397	+	1	NA	NA	NA	NA	25	HEK293T
RANGAP1	ENSG00000012061	ERCC1	protein_coding	1	1	1	RANGAP1:CH365	chr19	45478623	45478662	45478623	45478662	-	1	NA	NA	NA	NA	24	HEK293T
RANGAP1	ENSG00000022267	FHL1	protein_coding	1	1	1	RANGAP1:CH675	chrX	136147548	136147587	136147548	136147587	+	1	NA	NA	NA	NA	25	HEK293T
RANGAP1	ENSG00000028310	BRD9	protein_coding	1	1	1	RANGAP1:CH527	chr5	857239	857278	857239	857278	-	1	NA	NA	NA	NA	20	HEK293T
RANGAP1	ENSG00000051341	POLQ	protein_coding	1	1	1	RANGAP1:CH494	chr3	121545923	121545962	121545923	121545962	-	1	NA	NA	NA	NA	23	HEK293T
RANGAP1	ENSG00000054523	KIF1B	protein_coding	1	1	1	RANGAP1:CH8	chr1	10298972	10299011	10298972	10299011	+	1	NA	NA	NA	NA	16	HEK293T
RANGAP1	ENSG00000058262	SEC61A1	protein_coding	1	2	2	RANGAP1:CH496	chr3	128052453	128052500	128052453	128052500	+	2	NA	NA	NA	NA	24	HEK293T
RANGAP1	ENSG00000063046	EIF4B	protein_coding	1	3	3	RANGAP1:CH152	chr12	53040778	53040836	53040778	53040836	+	3	NA	NA	NA	NA	17	HEK293T
RANGAP1	ENSG00000063244	U2AF2	protein_coding	2	4	8	RANGAP1:CH384	chr19	55670470	55670513	55670470	55670513	+	4	NA	NA	NA	NA	21	HEK293T
RANGAP1	ENSG00000063244	U2AF2	protein_coding	2	4	8	RANGAP1:CH385	chr19	55674595	55674642	55674595	55674642	+	4	NA	NA	NA	NA	21	HEK293T
RANGAP1	ENSG00000063438	AHRR	protein_coding	1	4	4	RANGAP1:CH525	chr5	415626	415699	415626	415699	+	4	NA	NA	NA	NA	12	HEK293T
RANGAP1	ENSG00000067167	TRAM1	protein_coding	1	1	1	RANGAP1:CH611	chr8	70608203	70608242	70608203	70608242	-	1	NA	NA	NA	NA	23	HEK293T
RANGAP1	ENSG00000069275	NUCKS1	protein_coding	3	3	5	RANGAP1:CH49	chr1	205713808	205713808	205713808	205713808	-	1	NA	NA	NA	NA	16	HEK293T
RANGAP1	ENSG00000069275	NUCKS1	protein_coding	3	3	5	RANGAP1:CH50	chr1	205714202	205714241	205714202	205714241	-	1	NA	NA	NA	NA	16	HEK293T
RANGAP1	ENSG00000069275	NUCKS1	protein_coding	3	3	5	RANGAP1:CH51	chr1	205749985	205750026	205749985	205750026	-	3	NA	NA	NA	NA	16	HEK293T
RANGAP1	ENSG00000070756	PABPC1	protein_coding	1	2	2	RANGAP1:CH613	chr8	100721557	100721604	100721557	100721604	-	2	NA	NA	NA	NA	17	HEK293T
RANGAP1	ENSG00000071564	TCF3	protein_coding	1	1	1	RANGAP1:CH331	chr19	1652403	1652442	1652403	1652442	-	1	NA	NA	NA	NA	23	HEK293T
RANGAP1	ENSG00000071626	DAZAP1	protein_coding	3	3	4	RANGAP1:CH325	chr19	1407592	1407631	1407592	1407631	+	1	NA	NA	NA	NA	30	HEK293T
RANGAP1	ENSG00000071626	DAZAP1	protein_coding	3	3	4	RANGAP1:CH326	chr19	1411744	1411795	1411744	1411795	+	2	NA	NA	NA	NA	30	HEK293T
RANGAP1	ENSG00000071626	DAZAP1	protein_coding	3	3	4	RANGAP1:CH327	chr19	1413702	1413741	1413702	1413741	+	1	NA	NA	NA	NA	30	HEK293T
RANGAP1	ENSG00000071655	MBD3	protein_coding	3	2	4	RANGAP1:CH328	chr19	1577668	1577707	1577668	1577707	-	1	NA	NA	NA	NA	30	HEK293T
RANGAP1	ENSG00000071655	MBD3	protein_coding	3	2	4	RANGAP1:CH329	chr19	1591083	1591122	1591083	1591122	-	1	NA	NA	NA	NA	30	HEK293T
RANGAP1	ENSG00000071655	MBD3	protein_coding	3	2	4	RANGAP1:CH330	chr19	1592640	1592691	1592640	1592691	-	2	NA	NA	NA	NA	30	HEK293T
RANGAP1	ENSG00000073921	PICALM	protein_coding	1	1	1	RANGAP1:CH134	chr11	86068773	86068812	86068773	86068812	-	1	NA	NA	NA	NA	23	HEK293T
RANGAP1	ENSG00000075151	EIF4G3	protein_coding	1	2	2	RANGAP1:CH10	chr1	21176075	21176118	21176075	21176118	-	2	NA	NA	NA	NA	17	HEK293T
RANGAP1	ENSG00000075415	SLC25A3	protein_coding	1	1	1	RANGAP1:CH161	chr12	98594060	98594099	98594060	98594099	+	1	NA	NA	NA	NA	23	HEK293T
RANGAP1	ENSG00000075624	ACTB	protein_coding	1	1	1	RANGAP1:CH588	chr7	5530541	5530580	5530541	5530580	-	1	NA	NA	NA	NA	20	HEK293T
RANGAP1	ENSG00000077147	TM9SF3	protein_coding	1	2	2	RANGAP1:CH68	chr10	96586947	96587000	96586947	96587000	-	2	NA	NA	NA	NA	22	HEK293T
RANGAP1	ENSG00000078369	GNB1	protein_coding	1	4	4	RANGAP1:CH7	chr1	1890930	1890990	1890930	1890990	-	4	NA	NA	NA	NA	19	HEK293T
RANGAP1	ENSG00000080603	SRCAP	protein_coding	2	2	2	RANGAP1:CH234	chr16	30724436	30724475	30724436	30724475	+	1	NA	NA	NA	NA	21	HEK293T
RANGAP1	ENSG00000080603	SRCAP	protein_coding	2	2	2	RANGAP1:CH235	chr16	30724817	30724856	30724817	30724856	+	1	NA	NA	NA	NA	21	HEK293T
