#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
BCLAF1	ENSG00000000419	DPM1	protein_coding	3	1	3	BCLAF1:CH9720	chr20	50936153	50936192	50936153	50936192	-	1	NA	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000000419	DPM1	protein_coding	3	1	3	BCLAF1:CH9721	chr20	50942065	50942104	50942065	50942104	-	1	NA	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000000419	DPM1	protein_coding	3	1	3	BCLAF1:CH9722	chr20	50955188	50955227	50955188	50955227	-	1	NA	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000001036	FUCA2	protein_coding	1	1	1	BCLAF1:CH13145	chr6	143502003	143502042	143502003	143502042	-	1	NA	NA	NA	NA	18	HepG2
BCLAF1	ENSG00000001084	GCLC	protein_coding	5	1	5	BCLAF1:CH12710	chr6	53507499	53507538	53507499	53507538	-	1	0.513	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000001084	GCLC	protein_coding	5	1	5	BCLAF1:CH12711	chr6	53514192	53514231	53514192	53514231	-	1	0.513	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000001084	GCLC	protein_coding	5	1	5	BCLAF1:CH12712	chr6	53516143	53516182	53516143	53516182	-	1	0.513	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000001084	GCLC	protein_coding	5	1	5	BCLAF1:CH12713	chr6	53520891	53520930	53520891	53520930	-	1	0.513	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000001084	GCLC	protein_coding	5	1	5	BCLAF1:CH12714	chr6	53522431	53522470	53522431	53522470	-	1	0.513	NA	NA	NA	27	HepG2
BCLAF1	ENSG00000001629	ANKIB1	protein_coding	5	2	6	BCLAF1:CH13704	chr7	92294925	92294972	92294925	92294972	+	2	NA	NA	NA	NA	31	HepG2
BCLAF1	ENSG00000001629	ANKIB1	protein_coding	5	2	6	BCLAF1:CH13705	chr7	92307513	92307552	92307513	92307552	+	1	NA	NA	NA	NA	31	HepG2
BCLAF1	ENSG00000001629	ANKIB1	protein_coding	5	2	6	BCLAF1:CH13706	chr7	92352506	92352545	92352506	92352545	+	1	NA	NA	NA	NA	31	HepG2
BCLAF1	ENSG00000001629	ANKIB1	protein_coding	5	2	6	BCLAF1:CH13707	chr7	92371538	92371577	92371538	92371577	+	1	NA	NA	NA	NA	31	HepG2
BCLAF1	ENSG00000001629	ANKIB1	protein_coding	5	2	6	BCLAF1:CH13708	chr7	92398837	92398876	92398837	92398876	+	1	NA	NA	NA	NA	31	HepG2
BCLAF1	ENSG00000001630	CYP51A1	protein_coding	5	1	5	BCLAF1:CH13694	chr7	92113606	92113645	92113606	92113645	-	1	0.696	-0.278	NA	NA	24	HepG2
BCLAF1	ENSG00000001630	CYP51A1	protein_coding	5	1	5	BCLAF1:CH13695	chr7	92123227	92123266	92123227	92123266	-	1	0.696	-0.278	NA	NA	24	HepG2
