#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
GRWD1	ENSG00000000419	DPM1	protein_coding	2	1	2	GRWD1:CH7573	chr20	50955183	50955222	50955183	50955222	-	1	NA	NA	NA	NA	16	K562
GRWD1	ENSG00000000419	DPM1	protein_coding	2	1	2	GRWD1:CH7574	chr20	50958452	50958491	50958452	50958491	-	1	NA	NA	NA	NA	16	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12292	chrX	65514877	65514935	65514877	65514935	-	2	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12293	chrX	65518057	65518100	65518057	65518100	-	2	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12294	chrX	65523585	65523624	65523585	65523624	-	1	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12295	chrX	65524836	65524875	65524836	65524875	-	1	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12296	chrX	65528287	65528326	65528287	65528326	-	1	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12297	chrX	65529621	65529675	65529621	65529675	-	2	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001497	LAS1L	protein_coding	7	2	11	GRWD1:CH12298	chrX	65534612	65534651	65534612	65534651	-	1	NA	NA	NA	NA	26	K562
GRWD1	ENSG00000001629	ANKIB1	protein_coding	2	2	3	GRWD1:CH10810	chr7	92294912	92294951	92294912	92294951	+	1	NA	NA	NA	NA	17	K562
GRWD1	ENSG00000001629	ANKIB1	protein_coding	2	2	3	GRWD1:CH10811	chr7	92307502	92307564	92307502	92307564	+	2	NA	NA	NA	NA	17	K562
GRWD1	ENSG00000002549	LAP3	protein_coding	1	1	1	GRWD1:CH8987	chr4	17583544	17583583	17583544	17583583	+	1	NA	NA	NA	NA	20	K562
