#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
CHTOP	ENSG00000000419	DPM1	protein_coding	1	1	1	CHTOP:CH35771	chr20	50957217	50957217	50957217	50957217	-	1	NA	NA	NA	NA	24	HEK293T
CHTOP	ENSG00000000457	SCYL3	protein_coding	2	2	3	CHTOP:CH4434	chr1	169853239	169853239	169853239	169853239	-	1	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000457	SCYL3	protein_coding	2	2	3	CHTOP:CH4435	chr1	169854695	169854695	169854695	169854695	-	2	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000460	C1orf112	protein_coding	6	3	11	CHTOP:CH4428	chr1	169804156	169804156	169804156	169804156	+	2	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000460	C1orf112	protein_coding	6	3	11	CHTOP:CH4429	chr1	169827086	169827086	169827086	169827086	+	2	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000460	C1orf112	protein_coding	6	3	11	CHTOP:CH4430	chr1	169827734	169827766	169827734	169827766	+	3	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000460	C1orf112	protein_coding	6	3	11	CHTOP:CH4431	chr1	169829295	169829295	169829295	169829295	+	2	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000460	C1orf112	protein_coding	6	3	11	CHTOP:CH4432	chr1	169832919	169832919	169832919	169832919	+	1	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000000460	C1orf112	protein_coding	6	3	11	CHTOP:CH4433	chr1	169853148	169853148	169853148	169853148	+	1	NA	NA	NA	NA	32	HEK293T
CHTOP	ENSG00000001036	FUCA2	protein_coding	2	1	2	CHTOP:CH49109	chr6	143504113	143504113	143504113	143504113	-	1	NA	NA	NA	NA	19	HEK293T
CHTOP	ENSG00000001036	FUCA2	protein_coding	2	1	2	CHTOP:CH49110	chr6	143507404	143507404	143507404	143507404	-	1	NA	NA	NA	NA	19	HEK293T
CHTOP	ENSG00000001084	GCLC	protein_coding	5	4	14	CHTOP:CH47836	chr6	53497576	53497576	53497576	53497576	-	2	NA	NA	NA	NA	13	HEK293T
