#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
LIN28B	ENSG00000000003	TSPAN6	protein_coding	4	2	7	LIN28B:CH74171	chrX	100629614	100629661	100629614	100629661	-	2	NA	NA	NA	NA	11	HepG2
LIN28B	ENSG00000000003	TSPAN6	protein_coding	4	2	7	LIN28B:CH74172	chrX	100630817	100630856	100630817	100630856	-	1	NA	NA	NA	NA	11	HepG2
LIN28B	ENSG00000000003	TSPAN6	protein_coding	4	2	7	LIN28B:CH74173	chrX	100633941	100634013	100633941	100634013	-	2	NA	NA	NA	NA	11	HepG2
LIN28B	ENSG00000000003	TSPAN6	protein_coding	4	2	7	LIN28B:CH74175	chrX	100635681	100635721	100635681	100635721	-	2	NA	NA	NA	NA	11	HepG2
LIN28B	ENSG00000000419	DPM1	protein_coding	2	4	6	LIN28B:CH43909	chr20	50935166	50935216	50935166	50935216	-	3	NA	NA	NA	NA	12	HepG2,K562
LIN28B	ENSG00000000419	DPM1	protein_coding	2	4	6	LIN28B:CH43911	chr20	50955018	50955271	50955018	50955271	-	3	NA	NA	NA	NA	12	HEK293,HepG2,K562
LIN28B	ENSG00000000457	SCYL3	protein_coding	1	1	1	LIN28B:CH5856	chr1	169866087	169866126	169866087	169866126	-	1	NA	NA	NA	NA	10	HEK293
LIN28B	ENSG00000000460	C1orf112	protein_coding	1	1	1	LIN28B:CH5855	chr1	169680554	169680593	169680554	169680593	+	1	NA	NA	NA	NA	20	HEK293
LIN28B	ENSG00000000971	CFH	protein_coding	6	2	10	LIN28B:CH6495	chr1	196676016	196676055	196676016	196676055	+	1	NA	NA	NA	NA	12	K562
LIN28B	ENSG00000000971	CFH	protein_coding	6	2	10	LIN28B:CH6496	chr1	196677473	196677515	196677473	196677515	+	2	NA	NA	NA	NA	12	K562
LIN28B	ENSG00000000971	CFH	protein_coding	6	2	10	LIN28B:CH6498	chr1	196679736	196679777	196679736	196679777	+	2	NA	NA	NA	NA	12	K562
LIN28B	ENSG00000000971	CFH	protein_coding	6	2	10	LIN28B:CH6499	chr1	196689527	196689570	196689527	196689570	+	2	NA	NA	NA	NA	12	K562
LIN28B	ENSG00000000971	CFH	protein_coding	6	2	10	LIN28B:CH6500	chr1	196726557	196726596	196726557	196726596	+	1	NA	NA	NA	NA	12	K562
LIN28B	ENSG00000000971	CFH	protein_coding	6	2	10	LIN28B:CH6501	chr1	196741993	196742034	196741993	196742034	+	2	NA	NA	NA	NA	12	K562
LIN28B	ENSG00000001036	FUCA2	protein_coding	6	5	11	LIN28B:CH61943	chr6	143495659	143495701	143495659	143495701	-	2	0.221	-0.313	NA	NA	9	HepG2
LIN28B	ENSG00000001036	FUCA2	protein_coding	6	5	11	LIN28B:CH61944	chr6	143501989	143502054	143501989	143502054	-	3	0.221	-0.313	NA	NA	9	HepG2,K562
LIN28B	ENSG00000001036	FUCA2	protein_coding	6	5	11	LIN28B:CH61945	chr6	143502373	143502427	143502373	143502427	-	3	0.221	-0.313	NA	NA	9	HepG2,K562
LIN28B	ENSG00000001036	FUCA2	protein_coding	6	5	11	LIN28B:CH61946	chr6	143503957	143503996	143503957	143503996	-	1	0.221	-0.313	NA	NA	9	HEK293
LIN28B	ENSG00000001036	FUCA2	protein_coding	6	5	11	LIN28B:CH61947	chr6	143507253	143507292	143507253	143507292	-	1	0.221	-0.313	NA	NA	9	HepG2
LIN28B	ENSG00000001036	FUCA2	protein_coding	6	5	11	LIN28B:CH61948	chr6	143511648	143511687	143511648	143511687	-	1	0.221	-0.313	NA	NA	9	HEK293
LIN28B	ENSG00000001084	GCLC	protein_coding	4	2	6	LIN28B:CH60375	chr6	53498741	53498780	53498741	53498780	-	1	NA	NA	NA	NA	11	HepG2
LIN28B	ENSG00000001084	GCLC	protein_coding	4	2	6	LIN28B:CH60376	chr6	53507489	53507528	53507489	53507528	-	1	NA	NA	NA	NA	11	HepG2
LIN28B	ENSG00000001084	GCLC	protein_coding	4	2	6	LIN28B:CH60377	chr6	53516130	53516169	53516130	53516169	-	2	NA	NA	NA	NA	11	HepG2,erythroid
LIN28B	ENSG00000001084	GCLC	protein_coding	4	2	6	LIN28B:CH60378	chr6	53520869	53520909	53520869	53520909	-	2	NA	NA	NA	NA	11	HepG2,erythroid
LIN28B	ENSG00000001167	NFYA	protein_coding	4	5	9	LIN28B:CH59916	chr6	41084075	41084127	41084075	41084127	+	4	NA	NA	NA	NA	14	HEK293,HepG2,K562
LIN28B	ENSG00000001167	NFYA	protein_coding	4	5	9	LIN28B:CH59918	chr6	41093019	41093019	41093019	41093019	+	1	NA	NA	NA	NA	14	HEK293
LIN28B	ENSG00000001167	NFYA	protein_coding	4	5	9	LIN28B:CH59919	chr6	41098254	41098295	41098254	41098295	+	2	NA	NA	NA	NA	14	HEK293
