#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90886	chr20	50936150	50936201	50936150	50936201	-	2	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90887	chr20	50939374	50939413	50939374	50939413	-	1	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90888	chr20	50939975	50940015	50939975	50940015	-	2	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90889	chr20	50942064	50942103	50942064	50942103	-	1	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90890	chr20	50948019	50948058	50948019	50948058	-	3	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90891	chr20	50949412	50949454	50949412	50949454	-	3	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90892	chr20	50949658	50949697	50949658	50949697	-	2	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90893	chr20	50951157	50951197	50951157	50951197	-	2	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90894	chr20	50953226	50953267	50953226	50953267	-	3	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90895	chr20	50954386	50954445	50954386	50954445	-	4	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90896	chr20	50955069	50955238	50955069	50955238	-	6	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90897	chr20	50957354	50957393	50957354	50957393	-	1	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90898	chr20	50957870	50958049	50957870	50958049	-	3	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000419	DPM1	protein_coding	14	6	39	SCAF8:CH90899	chr20	50958360	50958413	50958360	50958413	-	4	NA	NA	NA	NA	19	HEK293
SCAF8	ENSG00000000457	SCYL3	protein_coding	2	1	2	SCAF8:CH11905	chr1	169866933	169866972	169866933	169866972	-	1	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000000457	SCYL3	protein_coding	2	1	2	SCAF8:CH11908	chr1	169887341	169887380	169887341	169887380	-	1	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11888	chr1	169795032	169795101	169795032	169795101	+	3	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11889	chr1	169795399	169795444	169795399	169795444	+	2	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11890	chr1	169797435	169797474	169797435	169797474	+	1	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11891	chr1	169804151	169804211	169804151	169804211	+	2	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11892	chr1	169830692	169830731	169830692	169830731	+	1	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11893	chr1	169833340	169833384	169833340	169833384	+	3	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11894	chr1	169837060	169837099	169837060	169837099	+	2	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11895	chr1	169843721	169843760	169843721	169843760	+	1	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11896	chr1	169847762	169847801	169847762	169847801	+	1	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11897	chr1	169851882	169851925	169851882	169851925	+	5	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000000460	C1orf112	protein_coding	11	5	26	SCAF8:CH11898	chr1	169853558	169853610	169853558	169853610	+	5	NA	NA	NA	NA	31	HEK293
SCAF8	ENSG00000001036	FUCA2	protein_coding	4	5	14	SCAF8:CH124235	chr6	143495636	143495675	143495636	143495675	-	1	NA	NA	NA	NA	20	HEK293
SCAF8	ENSG00000001036	FUCA2	protein_coding	4	5	14	SCAF8:CH124237	chr6	143502011	143502052	143502011	143502052	-	3	NA	NA	NA	NA	20	HEK293
SCAF8	ENSG00000001036	FUCA2	protein_coding	4	5	14	SCAF8:CH124238	chr6	143502376	143502427	143502376	143502427	-	3	NA	NA	NA	NA	20	HEK293
SCAF8	ENSG00000001036	FUCA2	protein_coding	4	5	14	SCAF8:CH124239	chr6	143503961	143504181	143503961	143504181	-	5	NA	NA	NA	NA	20	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121191	chr6	53505790	53505829	53505790	53505829	-	2	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121192	chr6	53506916	53506955	53506916	53506955	-	1	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121193	chr6	53507474	53507513	53507474	53507513	-	1	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121194	chr6	53508602	53508641	53508602	53508641	-	1	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121195	chr6	53516603	53516642	53516603	53516642	-	1	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121196	chr6	53522720	53522770	53522720	53522770	-	3	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001084	GCLC	protein_coding	7	3	11	SCAF8:CH121197	chr6	53544495	53544534	53544495	53544534	-	2	NA	NA	NA	NA	28	HEK293
SCAF8	ENSG00000001167	NFYA	protein_coding	5	5	10	SCAF8:CH120488	chr6	41084627	41084666	41084627	41084666	+	1	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000001167	NFYA	protein_coding	5	5	10	SCAF8:CH120489	chr6	41087092	41087131	41087092	41087131	+	4	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000001167	NFYA	protein_coding	5	5	10	SCAF8:CH120490	chr6	41090963	41091002	41090963	41091002	+	1	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000001167	NFYA	protein_coding	5	5	10	SCAF8:CH120491	chr6	41097610	41097675	41097610	41097675	+	2	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000001167	NFYA	protein_coding	5	5	10	SCAF8:CH120492	chr6	41099609	41099648	41099609	41099648	+	2	NA	NA	NA	NA	32	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3108	chr1	24419412	24419470	24419412	24419470	+	3	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3109	chr1	24421441	24421504	24421441	24421504	+	2	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3110	chr1	24423678	24423725	24423678	24423725	+	2	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3112	chr1	24431363	24431404	24431363	24431404	+	2	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3113	chr1	24449497	24449536	24449497	24449536	+	1	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3114	chr1	24460474	24460530	24460474	24460530	+	6	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3115	chr1	24469029	24469068	24469029	24469068	+	1	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3116	chr1	24469775	24469814	24469775	24469814	+	1	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3117	chr1	24471647	24471689	24471647	24471689	+	4	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001461	NIPAL3	protein_coding	10	6	27	SCAF8:CH3118	chr1	24472590	24472641	24472590	24472641	+	4	NA	NA	NA	NA	27	HEK293
SCAF8	ENSG00000001497	LAS1L	protein_coding	20	6	62	SCAF8:CH145883	chrX	65508596	65508644	65508596	65508644	-	2	NA	NA	NA	NA	14	HEK293
SCAF8	ENSG00000001497	LAS1L	protein_coding	20	6	62	SCAF8:CH145884	chrX	65509007	65509046	65509007	65509046	-	1	NA	NA	NA	NA	14	HEK293
SCAF8	ENSG00000001497	LAS1L	protein_coding	20	6	62	SCAF8:CH145885	chrX	65509617	65509656	65509617	65509656	-	1	NA	NA	NA	NA	14	HEK293
