#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
RNPS1	ENSG00000000003	TSPAN6	protein_coding	3	2	3	RNPS1:CH95820	chrX	100629151	100629190	100629151	100629190	-	1	NA	NA	NA	NA	13	HeLa
RNPS1	ENSG00000000003	TSPAN6	protein_coding	3	2	3	RNPS1:CH95821	chrX	100629750	100629789	100629750	100629789	-	1	NA	NA	NA	NA	13	HeLa
RNPS1	ENSG00000000003	TSPAN6	protein_coding	3	2	3	RNPS1:CH95822	chrX	100630761	100630800	100630761	100630800	-	1	NA	NA	NA	NA	13	HeLa
RNPS1	ENSG00000000419	DPM1	protein_coding	6	6	20	RNPS1:CH59657	chr20	50935029	50935068	50935029	50935068	-	1	NA	NA	NA	NA	25	HeLa
RNPS1	ENSG00000000419	DPM1	protein_coding	6	6	20	RNPS1:CH59658	chr20	50936150	50936193	50936150	50936193	-	4	NA	NA	NA	NA	25	HeLa
RNPS1	ENSG00000000419	DPM1	protein_coding	6	6	20	RNPS1:CH59659	chr20	50940861	50940911	50940861	50940911	-	4	NA	NA	NA	NA	25	HeLa
RNPS1	ENSG00000000419	DPM1	protein_coding	6	6	20	RNPS1:CH59660	chr20	50942033	50942100	50942033	50942100	-	4	NA	NA	NA	NA	25	HeLa
RNPS1	ENSG00000000419	DPM1	protein_coding	6	6	20	RNPS1:CH59661	chr20	50945843	50945887	50945843	50945887	-	3	NA	NA	NA	NA	25	HeLa
RNPS1	ENSG00000000419	DPM1	protein_coding	6	6	20	RNPS1:CH59662	chr20	50958361	50958410	50958361	50958410	-	3	NA	NA	NA	NA	25	HeLa
RNPS1	ENSG00000000457	SCYL3	protein_coding	3	3	4	RNPS1:CH8117	chr1	169854266	169854306	169854266	169854306	-	2	NA	NA	NA	NA	11	HeLa
RNPS1	ENSG00000000457	SCYL3	protein_coding	3	3	4	RNPS1:CH8118	chr1	169859045	169859084	169859045	169859084	-	1	NA	NA	NA	NA	11	HeLa
