#please cite:
#1.Zhou KR, Huang JH, Liu S, Li B, Liu SR, Zheng WJ, Cai L, et al. An encyclopedia of RNA interactomes in ENCORI.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
RBP	geneID	geneName	geneType	clusterNum	totalClipExpNum	totalClipSiteNum	clusterID	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	HepG2(shRNA)	K562(shRNA)	HepG2(CRISPR)	K562(CRISPR)	pancancerNum	cellline/tissue
HNRNPH1	ENSG00000000460	C1orf112	protein_coding	1	1	1	HNRNPH1:CH1302	chr1	169820173	169820212	169820173	169820212	+	1	NA	NA	NA	-0.305	32	HEK293T
HNRNPH1	ENSG00000001167	NFYA	protein_coding	1	1	1	HNRNPH1:CH12683	chr6	41098357	41098396	41098357	41098396	+	1	NA	NA	NA	NA	32	HEK293T
HNRNPH1	ENSG00000001497	LAS1L	protein_coding	6	5	8	HNRNPH1:CH15297	chrX	65506942	65506981	65506942	65506981	-	1	NA	NA	NA	-0.353	19	HEK293T
HNRNPH1	ENSG00000001497	LAS1L	protein_coding	6	5	8	HNRNPH1:CH15298	chrX	65510199	65510238	65510199	65510238	-	1	NA	NA	NA	-0.353	19	HEK293T
HNRNPH1	ENSG00000001497	LAS1L	protein_coding	6	5	8	HNRNPH1:CH15299	chrX	65514709	65514748	65514709	65514748	-	1	NA	NA	NA	-0.353	19	A375
HNRNPH1	ENSG00000001497	LAS1L	protein_coding	6	5	8	HNRNPH1:CH15300	chrX	65524861	65524900	65524861	65524900	-	1	NA	NA	NA	-0.353	19	A375
HNRNPH1	ENSG00000001497	LAS1L	protein_coding	6	5	8	HNRNPH1:CH15301	chrX	65528544	65528592	65528544	65528592	-	3	NA	NA	NA	-0.353	19	HEK293T
HNRNPH1	ENSG00000001497	LAS1L	protein_coding	6	5	8	HNRNPH1:CH15302	chrX	65529046	65529085	65529046	65529085	-	1	NA	NA	NA	-0.353	19	HEK293T
HNRNPH1	ENSG00000001629	ANKIB1	protein_coding	1	2	2	HNRNPH1:CH13499	chr7	92246060	92246129	92246060	92246129	+	2	NA	NA	NA	NA	31	A375,HEK293T
HNRNPH1	ENSG00000001631	KRIT1	protein_coding	3	5	9	HNRNPH1:CH13496	chr7	92201665	92201704	92201665	92201704	-	1	NA	NA	NA	NA	32	A375
HNRNPH1	ENSG00000001631	KRIT1	protein_coding	3	5	9	HNRNPH1:CH13497	chr7	92228722	92228761	92228722	92228761	-	1	NA	NA	NA	NA	32	HEK293T
HNRNPH1	ENSG00000001631	KRIT1	protein_coding	3	5	9	HNRNPH1:CH13498	chr7	92245626	92245843	92245626	92245843	-	5	NA	NA	NA	NA	32	A375,HEK293T
HNRNPH1	ENSG00000002016	RAD52	protein_coding	1	1	1	HNRNPH1:CH3067	chr12	949520	949559	949520	949559	-	1	NA	NA	NA	NA	32	A375
HNRNPH1	ENSG00000002549	LAP3	protein_coding	1	1	1	HNRNPH1:CH11728	chr4	17577784	17577823	17577784	17577823	+	1	NA	NA	NA	NA	19	A375
HNRNPH1	ENSG00000002822	MAD1L1	protein_coding	6	1	6	HNRNPH1:CH13114	chr7	2139287	2139326	2139287	2139326	-	1	NA	NA	NA	NA	21	A375
HNRNPH1	ENSG00000002822	MAD1L1	protein_coding	6	1	6	HNRNPH1:CH13115	chr7	2148325	2148364	2148325	2148364	-	1	NA	NA	NA	NA	21	A375
HNRNPH1	ENSG00000002822	MAD1L1	protein_coding	6	1	6	HNRNPH1:CH13116	chr7	2148975	2149014	2148975	2149014	-	1	NA	NA	NA	NA	21	A375
HNRNPH1	ENSG00000002822	MAD1L1	protein_coding	6	1	6	HNRNPH1:CH13117	chr7	2197881	2197920	2197881	2197920	-	1	NA	NA	NA	NA	21	A375
HNRNPH1	ENSG00000002822	MAD1L1	protein_coding	6	1	6	HNRNPH1:CH13118	chr7	2218144	2218183	2218144	2218183	-	1	NA	NA	NA	NA	21	A375
